ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
387,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
388,,3000,,,256 MB,Dedicated Slot,,Ssky N230,,"‚¹1,340",2MP,1 MHz,,,,,129 x 119$$Pixels
389,,1000,,,32 MB,Dedicated Slot,,Mymax M42,,‚¹599,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
390,,2000,,,8 GB,,,Panasonic Eluga I2 ,Android Lollipop 5.1,"‚¹6,999",8MP,1 GHz,,,,,720 x 1280
391,Yes,2800,Yes,,8 GB,,,Xolo Q2100 ,Android KitKat 4.4,"‚¹7,200",8MP,1.3 GHz,,2MP,"Accelerometer, Ambient Light Sensor, Proximity Sensor, Magnetometer",162 g,1280 x 720 Pixels
392,,1000,,,32 MB,,,Micromax Joy X605,1,‚¹957,0.3MP,,,,,,240 x 320 Pixels
393,,3000,Yes,,16 GB,Dedicated Slot,,OPPO A71 New Edition ,Android Nougat 7.1,"‚¹9,990",13MP,1.8 GHz,Nano SIM and Nano SIM,5MP,"Proximity Sensor, Light Sensor, Accelerator Sensor, E-compass",137 g,1280 x 720 Pixels
394,,4000,Yes,,32 GB,Dedicated Slot,,Infinix Hot S3 ,Android Oreo 8,"‚¹8,999",13MP,1.4 GHz,Nano SIM and Nano SIM,20MP,"Fingerprint Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Compass, Hall Sensor, G Sensor",150 g,720*1440 Pixels
395,,5300,Yes,Adreno 506,64 GB,Hybrid Slot,,Mi Max 2 ,Android Nougat 7.1.1,"‚¹15,999",12MP,2 GHz,Micro SIM and Nano SIM,5MP,"Ambient Light Sensor, Proximity Sensor, E-compass, Accelerometer, Gyroscope, Fingerprint Sensor",211 g,1920 x 1080 pixels
396,,2200,Yes,,16 GB,Dedicated Slot,,Panasonic P100 ,Android Nougat 7.0,"‚¹5,299",8MP,1.25 GHz,Micro SIM and Micro SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",174.8 g,1280 x 720 Pixels
397,Yes,3340,Yes,,32 GB,Hybrid Slot,No,Honor 6X ,Android Marshmallow 6.0,"‚¹11,999",12MP + 2MP,2.1 GHz,Nano SIM,8MP,"Hall Effect Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",162 g,1920 x 1080 pixels
398,,400,,,32 MB,Dedicated Slot,,Kechaoda K116 Plus,,‚¹975,0.3MP,,,,,,320 x 240$$Pixels
399,Yes,3000,,ARM Heimdall MP18,64 GB,Hybrid Slot,Yes,Samsung Galaxy S9 ,Android Oreo 8,"‚¹57,900",12MP,2.7 GHz,Nano SIM,8MP,,163 g,2960 x 1440 Pixels
400,,2500,Yes,,16 GB,Hybrid Slot,,ZTE V7 Lite ,Android Marshmallow 6.0,"‚¹5,999",13MP,1 GHz,,8MP,"Fingerprint (rear-mounted), accelerometer, proximity, compass",133.3 g,720 x 1280 pixels
401,Yes,3000,Yes,ARM MaIi - T860 MP2,64 GB,Hybrid Slot,,VIVO V5s Perfect Selfie ,Android Nougat 7 (Update Available),"‚¹15,990",13MP,1.5 GHz,Micro SIM and Nano SIM,20MP,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",154 g,1280 x 720 pixels
402,,850,,,32 MB,Dedicated Slot,,Callbar B3310,No,‚¹649,0.3MP,1 MHz,,,,,320 x 480$$Pixels
403,,2400,,,8 GB,,,Panasonic T44 ,Android Marshmallow 6.0.1,"‚¹3,199",5MP,1.3 GHz,,,Proximity sensor,,800 x 480 Pixels
404,Yes,2200,,,32 GB,Hybrid Slot,,Comio C1 4G ,Android Nougat 7.0,"‚¹5,499",8MP,1.3 GHz,,5MP,,175 g,1280 x 720 Pixels
405,Yes,1050,,,,Dedicated Slot,,Mafe Nemo,,‚¹690,0.3MP,,,,,,160 x 128 Pixels
406,Yes,3600,,,32 MB,Dedicated Slot,,Aqua Pearl Max,0,"‚¹1,298",1.3MP,312 MHz,Full Size SIM,,,,240 x 320$$Pixels
407,Yes,4000,Yes,Adreno 506,32 GB,Hybrid Slot,,Redmi Note 5 ,Android Nougat 7.1.2,"‚¹9,999",12MP,2 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",180 g,2160 x 1080 Pixels
408,,950,,,,Dedicated Slot,,Melbon DUDE 88-2017,,‚¹550,0.3MP,,,,,110 g,120 x 240 Pixels
409,Yes,3000,Yes,,8 GB,Dedicated Slot,,Sansui S73 ,Android Marshmallow 6.0,"‚¹3,499",5MP,1.1 GHz,,2MP,All,,480 x 480$$Pixels
410,Yes,2800,,,8 GB,Dedicated Slot,,GreenBerry Z8 ,Android Nougat 7,"‚¹4,399",8MP,1.7 GHz,,5MP,,,1080 x 720$$Pixels
411,Yes,2200,,,,Hybrid Slot,,Gfive Z8,,‚¹875,0.3MP,,Normal SIM,,,,240 x 320 Pixels
412,Yes,2250,,,16 GB,Dedicated Slot,,Karbonn Yuva 2 ,Android Nougat 7,"‚¹4,799",5MP,1.25 GHz,,,,170 g,1280 x 720$$Pixels
413,,4000,Yes,,16 GB,Hybrid Slot,,Panasonic Eluga I3 Mega ,Android Marshmallow 6,"‚¹9,749",13MP,1.3 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor",180 g,1280 x 720 Pixels
414,Yes,3000,,,32 KB,,Yes,JIVI N9003,,"‚¹1,149",1.3MP,,Normal,,,120 g,240 x 320 Pixel
415,,1000,,,32 MB,Dedicated Slot,,I-Plus i1,,‚¹699,0.03MP,50 MHz,,,,,160 x 120$$Pixels
416,,800,,,10 MB,,,Rocktel W7,,‚¹569,0.3MP,,Full Size Sim,,,,128 x 160 Pixels
417,Yes,4000,,,1 MB,Dedicated Slot,,Kara K17,,"‚¹1,249",0.3MP,1 MHz,Normal SIM,,,,320 x 240$$Pixels
418,,1000,,,512 MB,Dedicated Slot,,Lychee Y006,,‚¹799,2MP,1.2 MHz,yes,,no,,240 x 320$$Pixels
419,,1200,,,32 MB,Dedicated Slot,,Chilli F05 Superstar,,"‚¹1,399",1.3MP,512 MHz,,,,,120 x 240$$Pixels
420,,2500,,,1 MB,Dedicated Slot,,Fox Gama,,‚¹999,0.3MP,1 MHz,,,,,128 x 160$$Pixels
421,,950,,,32 MB,Dedicated Slot,,Gfive U330,No,‚¹699,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
422,Yes,1000,,,32 KB,,Yes,JIVI 12M,,‚¹674,,,Normal,,,95 g,169 X 128 Pixel
423,,800,,,64 MB,,,I Kall K72,,‚¹499,0MP,,Normal SIM,,,,96 x 68$$Pixels
424,Yes,1000,,,32 MB,Dedicated Slot,,Mtech G17,,‚¹799,0.3MP,,,,,,128 x 160 Pixels
425,,1800,,,120 MB,Dedicated Slot,,Iball Supremo B3,,‚¹999,0.3MP,,,,,,320 x 240 Pixels
426,Yes,2500,,,32 MB,Dedicated Slot,,Mtech Jumbo,,‚¹949,0.3MP,,Regular SIM,,,,128 x 160 Pixels
427,Yes,1800,,,64 MB,Dedicated Slot,,I Kall K35 Combo Of Two Mobile,0,"‚¹1,499",0.3MP,,,,,,240 x 320 Pixels
428,Yes,1500,,,32 MB,,,Blackbear D-102,,"‚¹1,350",0.3MP,,,,,120 g,320 x 220 Pixels
429,,3000,,,64 GB,Dedicated Slot,,LG Q6+ ,Android Nougat 7.1.1,"‚¹16,500",13MP,1.4 GHz,,,,,1080 x 2160$$Pixels
430,Yes,2800,,,32 MB,Dedicated Slot,,GreenBerry G55,,"‚¹1,099",2MP,1.2 MHz,Standard SIM,,,,320 x 480 Pixels
431,Yes,1200,,,16 MB,Dedicated Slot,,Nokia 3310 DS,0,"‚¹3,285",2MP,,,,,,240 x 320 pixels
432,Yes,3500,Yes,,8 GB,Dedicated Slot,,Intex Aqua Lions 3G ,Android Lollipop 5.1,"‚¹4,290",5MP,1.2 GHz,,2MP,G-Sensor,172 g,1280 x 720 Pixels
433,,1000,,,64 MB,Dedicated Slot,,Trio T4 Flash,,‚¹599,1.3MP,1.2 MHz,,,,,128 x 160$$Pixels
434,,1300,,,32 MB,Dedicated Slot,,Micromax X1i-2017,,"‚¹1,199",0.08MP,,,,,,320 x 480 Pixels
435,,2400,,,16 GB,,,Intex Elyt Dual ,Android Nougat 7,"‚¹5,999",8MP,1.3 GHz,,,"G-Sensor, P-Sensor, L-Sensor",150 g,720 x 1280$$Pixels
436,,800,,,64 MB,Dedicated Slot,,MTR 230 Mini,,‚¹600,0.3MP,1.4 MHz,,,,,120 x 240$$Pixels
437,Yes,5020,Yes,,64 GB,Dedicated Slot,,Gionee Marathon M5 Plus ,Android Lollipop 5.1,"‚¹26,999",13MP,1.3 GHz,Micro SIM,5MP,"Fingerprint Sensor, G-Sensor, Light Sensor, eCompass, Motion Sensor, Proximity Sensor, Gyro Sensor, Digital Compass",210.8 g,1920 x 1080 Pixels
438,,800,,,64 MB,,,Adcom 111,,‚¹588,0.3MP,,Normal,,,125 g,160 x 128
439,,800,,,10 MB,Dedicated Slot,,Rocktel W7,,‚¹569,0.03MP,,,,,,128 x 160 Pixels
440,Yes,3000,Yes,Gfx 6 Series Graphic Chip,128 GB,,,Asus Zenfone 2 ZE551ML ,Android Lollipop 5,"‚¹29,999",13MP,2.3 GHz,Micro SIM,5MP,"Accelerometer, eCompass, Proximity Sensor, Gyroscope, Ambient Light Sensor, Hall Sensor",170 g,1920 x 1080 Pixels
441,Yes,950,,,64 MB,Dedicated Slot,,GLX W5 Combo of Two Mobiles,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
442,,2700,Yes,,16 GB,,,HTC Desire 825 ,Android Marshmallow 6,"‚¹12,580",13MP,1.6 GHz,Nano SIM,5MP,,155 g,1280 x 720
443,Yes,3500,Yes,,8 GB,Dedicated Slot,,Intex Aqua Lions 3G ,Android Lollipop 5.1,"‚¹4,290",5MP,1.2 GHz,,2MP,G-Sensor,172 g,1280 x 720 Pixels
444,,1500,,,,Hybrid Slot,,Forme Mini 1,,‚¹999,0.3MP,,,,,,320 x 240 Pixels
445,Yes,4010,,,32 GB,Hybrid Slot,,Coolpad Note 5 ,Android Marshmallow 6,"‚¹11,490",13MP,1.5 GHz,,8MP,"Accelerometer, Geomagnetic Sensor, Proximity Sensor, Light Sensor, Fingerprint Sensor",173.4 g,1920 x 1080 pixels
446,Yes,3200,Yes,Mali T86 MP2,64 GB,Dedicated Slot,,OPPO F3 ,Android Marshmallow 6,"‚¹16,990",13MP,1.5 GHz,Nano SIM and Nano SIM,16MP + 8MP,"Fingerprint Sensor, E-compass, G-sensor, Light and Proximity Sensor",153 g,1920 x 1080 pixels
447,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
448,,3180,Yes,,32 GB,Dedicated Slot,,OPPO A83 ,Android Nougat 7.1,"‚¹12,350",13MP,2.5 GHz,,8MP,"Geomagnetic Induction, Light Sensor, Distance Sensor, Gravity Sensor",143 g,1440 x 720 Pixels
449,No,600,,,32 MB,Dedicated Slot,,Gfive A98,,"‚¹1,039",0.3MP,,Normal SIM,0.3MP,,,128 x 160$$Pixels
450,Yes,3000,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
451,,800,,,32 MB,,,Rocktel W13,,‚¹569,0.3MP,50 MHz,Full Size Sim,,,,128*160
452,,800,,,32 MB,Dedicated Slot,,Micromax X412,,‚¹747,0.3MP,1.2 MHz,,,,,128 x 160$$Pixels
453,,600,,,32 MB,Hybrid Slot,,Winstar C1,,‚¹895,0.3MP,1 MHz,,,No,,128 x 160$$Pixels
454,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
455,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
456,,950,,,16 MB,Dedicated Slot,,Gfive N9,,‚¹639,0.3MP,,,,,,240 x 260 Pixels
457,Yes,3000,Yes,,64 GB,Hybrid Slot,,Smartron t-phone T5511 ,Android Marshmallow 6.0.1,"‚¹8,990",13MP,1.6 GHz,Micro SIM and Nano SIM,4MP,"Accelerometer, Ambient Light Sensor, Gyroscope, Proximity Sensor, Digital Compass, Hall Sensor",149 g,1920 x 1080 Pixels
458,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
459,Yes,650,,,32 MB,Dedicated Slot,,Viva V1,,‚¹444,0MP,1.2 MHz,Full Size SIM,,,,96 x 68$$Pixels
460,,2500,,,4 GB,Dedicated Slot,,Swipe Neo Power ,Android Marshmallow 6.0,"‚¹2,599",5MP,1.3 GHz,,,,,800 x 480 Pixels
461,,2620,Yes,,16 GB,Dedicated Slot,,Sony Xperia R1 Dual ,Android Nougat 7,"‚¹10,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
462,Yes,2800,,,8 GB,Dedicated Slot,,GreenBerry Z8 ,Android Nougat 7,"‚¹4,399",8MP,1.7 GHz,,5MP,,,1080 x 720$$Pixels
463,,1000,,,32 MB,Dedicated Slot,,Mido M88,,‚¹645,0.3MP,,Full Size SIM,,,,320 x 240 Pixels
464,,1050,,,35 MB,Dedicated Slot,,Ssky K-2,,‚¹690,1.3MP,1.2 MHz,,,,,320 x 428$$Pixels
465,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
466,Yes,3000,,,32 KB,,Yes,JIVI N9003,,"‚¹1,066",1.3MP,,Normal,,,120 g,240 x 320 Pixel
467,,1000,,,32 MB,Dedicated Slot,,I-Plus i1,,‚¹699,0.03MP,0.05 MHz,,,,,160 x 120$$Pixels
468,Yes,3000,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
469,Yes,4000,,,1 MB,Dedicated Slot,,Kara K17,,"‚¹1,249",0.3MP,1 MHz,Normal SIM,,,,320 x 240$$Pixels
470,Yes,2630,,ARM Mali T720,16 GB,Dedicated Slot,Yes,Nokia 3 ,Android Nougat 7,"‚¹8,899",8MP,1.3 GHz,Micro SIM,8MP,"Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Gyroscope, Proximity Sensor",,1280 x 720
471,Yes,1000,,,10 MB,Dedicated Slot,,Blackzone N1102,,‚¹629,0.3MP,1 MHz,Normal SIM,,,,320 x 240$$Pixels
472,,1350,,,10 MB,Dedicated Slot,,Kara Sports,,‚¹799,1.3MP,1 MHz,,0.3MP,,,320 x 240$$Pixels
473,Yes,950,,,32 MB,Dedicated Slot,,Gfive U330,No,‚¹699,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
474,Yes,950,,,250 MB,Dedicated Slot,,Melbon Dude-22,,‚¹550,0.3MP,,Full Size SIM,,,110 g,128 x160 Pixels
475,,3180,Yes,,32 GB,Dedicated Slot,,OPPO A83 ,Android Nougat 7.1,"‚¹12,490",13MP,2.5 GHz,,8MP,"Geomagnetic Induction, Light Sensor, Distance Sensor, Gravity Sensor",143 g,1440 x 720 Pixels
476,Yes,1450,,,32 MB,Dedicated Slot,,Mido 3300,,‚¹599,0.3MP,,Regular SIM,,,350 g,240 x 320 Pixels
477,,1800,,,64 MB,Dedicated Slot,,Ssky S700,,"‚¹1,040",2MP,1 MHz,,,,,320 x 428$$Pixels
478,Yes,2500,,,32 MB,Dedicated Slot,,Mtech Jumbo,,‚¹949,0.3MP,,Regular SIM,,,,128 x 160 Pixels
479,,1400,,,32 MB,,,Karbonn K-Phone 1,,"‚¹1,105",1.3MP,,,,,,240 x 320 Pixels
480,Yes,2650,Yes,Adreno 506,32 GB,Hybrid Slot,,Asus Zenfone 3 ,Android Marshmallow 6,"‚¹12,840",16MP,2.0 GHz,Micro SIM and Nano SIM,8MP,"Accelerator, E-Compass, Gyroscope, Proximity Sensor, Hall Sensor, Ambient Light Sensor, RGB Sensor, IR Sensor, Fingerprint Scanner",144 g,1920 x 1080 Pixels
481,Yes,4000,Yes,,32 GB,Dedicated Slot,,Honor Holly 4 Plus ,Android Nougat 7,"‚¹11,999",12MP,1.4 GHz,,8MP,"Finger Print Sensor, Acceleromete Proximity Ambient Light Sensor, G-Sensor",,1280 x 720$$Pixels
482,,1800,,,32 MB,Dedicated Slot,,Ssky S9007 Rainbow,,"‚¹1,060",1.3MP,1.2 MHz,,,,,129 x 119$$Pixels
483,Yes,1200,,,16 MB,Dedicated Slot,,Nokia 3310 DS,0,"‚¹3,240",2MP,,,,,,240 x 320 pixels
484,Yes,850,,,64 MB,Dedicated Slot,,Peace P4 Combo of Two Mobiles,0,"‚¹1,019",0.3MP,,,,,,128 x 160$$Pixels
485,Yes,1500,,,32 MB,Dedicated Slot,,Reach Champ+ Selfie,,‚¹850,0.3MP,1 MHz,Regular SIM,0.3MP,,,128 x 160$$Pixels
486,Yes,2800,,,16 GB,,,HTC Desire 728G Dual Sim ,Android Lollipop 5.0.2,"‚¹8,499",13MP,1.3 GHz,Nano SIM,5MP,,153 g,1280 x 720 Pixels
487,,2400,,,16 GB,,,Intex Elyt Dual ,Android Nougat 7,"‚¹5,891",8MP,1.3 GHz,,,"G-sensor, P sensor, L sensor",,720 x 1280$$Pixels
488,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D7,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
489,Yes,1000,,,32 MB,,,Sansui Z11,,‚¹809,0.3MP,,,,,,128 x 160 pixels
490,,3000,,,256 MB,,,Gfive W1,0,"‚¹1,199",0.3MP,,,,,121 g,240 x 320 Pixels
491,Yes,4100,Yes,Mali T720,32 GB,Hybrid Slot,,Asus Zenfone 3_Max ,Android Marshmallow 6,"‚¹8,499",13MP,1.25 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, E-compass, Proximity, Ambient Light Sensor",148 g,1280 x 720 Pixels
492,,800,,,,,,Iball Prince 2,,‚¹749,0.3MP,,,,,,128 x 160 Pixels
493,Yes,950,,,64 MB,Dedicated Slot,,GLX W5 Combo of Two Mobiles,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
494,Yes,2000,,,32 MB,,,Celkon C9 Jumbo,,"‚¹1,379",1.3MP,,Full Size SIM,,,,240 x 320 Pixels
495,Yes,800,,,,Dedicated Slot,,Melbon MB 607,,‚¹550,0.3MP,,Full Size Sim,,,110 g,128 x160 Pixels
496,Yes,2200,,,64 MB,Dedicated Slot,,1+1=2 D4 Combo of Two Mobile,0,"‚¹1,429",0.3MP,,Normal SIM,,,,240 x 320$$Pixels
497,Yes,3000,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
498,Yes,3300,Yes,ARM Mali T830 MP1,64 GB,Dedicated Slot,,Samsung Galaxy On Nxt ,Android Marshmallow 6,"‚¹11,990",13MP,1.6 GHz,Nano SIM,8MP,"Accelerometer, Proximity Sensor, Fingerprint Sensor",167 g,1920 x 1080 pixels
499,Yes,,Yes,,32 GB,,Yes,Apple iPhone 6 ,iOS 9,"‚¹25,699",8MP,,Nano SIM,1.2MP,"Ambient Light Sensor, Proximity Sensor, Three-axis Gyro Sensor, Accelerometer, Fingerprint Identity Sensor, Barometer",129 g,1334 x 750 Pixels
500,,3000,,,56 MB,Dedicated Slot,,Intex Ultra Selfie,,"‚¹1,392",0.03MP,1 MHz,,,,,320 x 260$$Pixels
501,Yes,3340,Yes,,32 GB,Hybrid Slot,No,Honor 6X ,Android Marshmallow 6.0,"‚¹11,999",12MP + 2MP,2.1 GHz,Nano SIM,8MP,"Hall Effect Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",162 g,1920 x 1080 pixels
502,Yes,1500,,,8 GB,Dedicated Slot,,Karbonn A1 INDIAN 4G with VoLTE ,Android Nougat 7.0,"‚¹2,999",3.2MP,1.1 GHz,,2MP,,116 g,480 x 800 Pixels
503,Yes,2000,Yes,,16 GB,Dedicated Slot,No,Gionee P5_W ,Android Lollipop 5.1,"‚¹4,240",5MP,1.3 GHz,Micro sim,2MP,"Accelerometer, Proximity, Motion Sensor, E-Compass, G- sensor",,2592x1944
504,Yes,3000,Yes,"Adreno 505, 450 MHz",64 GB,Dedicated Slot,,Micromax Canvas Infinity Pro ,Android Nougat 7,"‚¹11,999",16MP,1.4 GHz,Micro SIM and Micro SIM,20MP + 8MP,"Proximity Sensor, Light Sensor, Accelerometer, Gyro, Magnetic Sensor (Compass), Hall IC",,1440 x 720 Pixels
505,Yes,2400,Yes,ARM Mali T720 MP1,32 GB,Dedicated Slot,,Samsung Galaxy J5 Prime ,Android Marshmallow 6,"‚¹11,990",13MP,1.4 GHz,Micro SIM,5MP,"Accelerometer, Light Sensor, Proximity Sensor",,1280 x 720
506,Yes,1500,,,8 GB,Dedicated Slot,,Karbonn A1 INDIAN 4G with VoLTE ,Android Nougat 7.0,"‚¹2,999",3.2MP,1.1 GHz,,2MP,,116 g,480 x 800 Pixels
507,,2900,Yes,Adreno 505,32 GB,Dedicated Slot,,OPPO A57 ,Android Marshmallow 6,"‚¹13,300",13MP,1.4 GHz,Nano SIM and Nano SIM,16MP,"Fingerprint Sensor, Distance Sensor, Light Sensor, G-sensor, E-compass",147 g,1280 x 720 Pixels
508,,950,,,16 MB,Dedicated Slot,,Gfive N9,,‚¹639,0.3MP,,,,,,240 x 260 Pixels
509,Yes,3050,Yes,Mali-T860,16 GB,Dedicated Slot,,Coolpad Mega 3 ,Android Marshmallow 6,"‚¹7,999",8MP,1.2 GHz,Nano SIM,8MP,"Accelerometer, Proximity",170 g,1280 x 720 pixels
510,Yes,1700,,,32 MB,,,Mtech M15 PRO,,"‚¹1,349",0.3MP,,Normal,,,13.15 g,240 X 320 Pixels
511,,2700,Yes,,64 GB,Dedicated Slot,Yes,Sony Xperia XA1 Ultra Dual ,Android Nougat 7,"‚¹31,990",23MP,2.3 GHz,Nano SIM,16MP,,188 g,1920 x 1080 pixels
512,Yes,1800,,,,Dedicated Slot,,Gfive Z15,,‚¹750,0.3MP,,Normal SIM,,,,240 x 320 Pixels
513,Yes,1715,Yes,PowerVR GT7600 (Six-core Graphics),32 GB,,Yes,Apple iPhone 6s ,iOS 9,"‚¹34,999",12MP,1.84 GHz,Nano Sim,5MP,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",143 g,750 x 1334 Pixels
514,,700,,,32 MB,Dedicated Slot,,MU M370,,‚¹860,0.3MP,1.2 MHz,,,,,320 x 240$$Pixels
515,Yes,1000,,,64 MB,Dedicated Slot,,I Kall K3310 Combo Of Two Mobile,,"‚¹1,499",0.3MP,,,,,,128 x 160 Pixels
516,Yes,1200,No,,32 MB,Dedicated Slot,,Lava Prime,,"‚¹1,649",0.3MP,1 MHz,,,,,240 x 320$$Pixels
517,,1200,,,32 MB,Dedicated Slot,,Micromax X706,,"‚¹1,279",0.3MP,,,,,,240 x 320 Pixels
518,Yes,1000,,,32 KB,,Yes,JIVI 12M,,‚¹598,,,Normal,,,95 g,169 X 128 Pixel
519,,4000,,,,Hybrid Slot,,Ziox Thunder Mega,,"‚¹1,349",0.3MP,,,,,,240 x 320 Pixels
520,Yes,2500,Yes,Mali-400,8 GB,Hybrid Slot,,Swipe Konnect Grand ,Android Marshmallow 6,"‚¹2,999",5MP,1.2 GHz,Micro SIM,2MP,"G-Sensor, Proximity Sensor",105 g,480 x 854 Pixels
521,,1500,,,34 KB,,,Intex Turbo S5,Symbian Series 40 N/A,"‚¹1,427",0.3MP,,,,,,240 x 320 pixels
522,,700,,,256 MB,,,Seniorworld Easyfone,0.2,"‚¹3,071",0.3MP,1.2 MHz,Full size SIM,,,85 g,240 x 320 Pixels
523,,2300,Yes,,16 GB,Dedicated Slot,,Gionee P7 ,Android Marshmallow 6,"‚¹6,699",8MP,1.3 GHz,Micro SIM,5MP,"Digital Compass, G Sensor (Auto Rotation), Proximity Sensor, Light Sensor, Accelerometer",167 g,1280 x 720 Pixels
524,Yes,2000,Yes,,8 GB,,,Alcatel Pixi4 ,Android Marshmallow 6,"‚¹4,300",8MP,1 GHz,,5MP,"G-Sensor, Proximity Sensor",,854 x 480 Pixels
525,Yes,3505,Yes,,64 GB,Dedicated Slot,Yes,Blackberry Keyone ,Android Nougat 7.1,"‚¹35,890",12MP,2.0 GHz,Nano SIM,8MP,"Accelerometer, Magnetometer, Gyroscope, Proximity, Ambient Light, Hall Sensor",,1620 x 1080$$Pixels
526,,1800,,,32 MB,Dedicated Slot,,MU M6,,‚¹875,1.3MP,1.2 MHz,,,,,320 x 480 pixels
527,,2000,Yes,,16 GB,Hybrid Slot,,Panasonic P77 ,Android Lollipop 5.1,"‚¹4,999",8MP,1.0 GHz,Micro SIM and Nano SIM,2MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor",126 g,1280 x 720 Pixels
528,,800,,,32 MB,Dedicated Slot,,Zen X58,,‚¹839,1.3MP,312 MHz,,,,,120 x 160 Pixels
529,Yes,1750,,,20 MB,Dedicated Slot,,Lemon 212,No,"‚¹1,150",0.3MP,1 MHz,,,,,240 x 160$$Pixels
530,,800,,,32 MB,Dedicated Slot,,Zen Atom 103 Plus,,‚¹739,1.3MP,312 MHz,,,,,120 x 160 Pixels
531,Yes,2070,Yes,Adreno 302; 400 MHz,8 GB,,,Asus Zenfone Go ,Android Lollipop 5.1.1,"‚¹4,299",5MP,1.2 GHz,,0.3MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, eCompass",122.5 g,854 x 480 Pixels
532,,2000,Yes,,8 GB,Dedicated Slot,,Micromax Bolt Supreme 4 ,Android Marshmallow 6,"‚¹4,799",8MP,1.3 GHz,,5MP,,,1280 x 720 Pixels
