ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
205,Yes,1300,Yes,Mali-400 512 MHz,4 GB,Dedicated Slot,,Micromax Bharat 2 Ultra ,Android Marshmallow 6.0,"‚¹2,890",2MP,1.5 GHz,Micro SIM and Normal SIM,0.3MP,Gravity Sensors,120 g,480 x 800 Pixels
206,,950,,,32 MB,Dedicated Slot,,Forme N9+ Combo of Two Mobile,,"‚¹1,199",0.3MP,1.2 MHz,Micro SIM,,,,128 x 160$$Pixels
207,Yes,4000,Yes,,16 GB,,,Panasonic Eluga A2 ,Android Lollipop v5.0.1,"‚¹6,945",8MP,1 GHz,,,"Accelerometer, Light Sensor, G Sensor",,720 x 1280
208,Yes,1200,,,4 GB,Dedicated Slot,,Lava A52 ,Android Lollipop 5.1,"‚¹2,199",2MP,1.3 GHz,,0.3MP,Accelerometer,112 g,800 x 400 Pixels
209,,1000,,,64 MB,,,I Kall K12,,‚¹599,0.3MP,,,,,,128 x 160
210,Yes,2400,,,20 KB,Dedicated Slot,,Intex Mega 2400,,"‚¹1,392",0.3MP,,Normal SIM,,,116.4 g,240 x 320 Pixels
211,,3000,,Adreno 506,64 GB,Hybrid Slot,,Asus Zenfone 4 Selfie Pro ,Android Nougat 7,"‚¹23,999",16MP,2.0 GHz,,24MP + 5MP,"Front Fingerprint Sensor, Accelerator, E-Compass, Gyroscope, Proximity Sensor, Ambient Light Sensor, RGB Sensor",147 g,1920 x 1080 Pixels
212,,800,,,64 MB,Dedicated Slot,,I Kall K301 Combo of Two,,"‚¹1,199",0.3MP,,Normal,,,,128 x 160 Pixels
213,Yes,2750,Yes,PowerVR GT7600 (six-core graphics),16 GB,,Yes,Apple iPhone 6s Plus ,iOS 9,"‚¹42,990",12MP,1.84 GHz,Nano Sim,5MP,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",192 g,1080 x 1920 Pixels
214,Yes,800,,,,Dedicated Slot,,JIVI N201 Selfie,,‚¹841,1.3MP,1 MHz,Normal SIM,0.3MP,,,240 x 320 pixels
215,,4000,,,32 GB,Hybrid Slot,,Lenovo K6 Note ,Android Marshmallow 6,"‚¹9,290",16MP,1.4 GHz,Nano SIM,8MP,,160 g,1080 x 1920 Pixels
216,,1200,,,20 MB,Dedicated Slot,,Reach Cogent Mini,,‚¹899,0.03MP,,,,,,320 x 480 Pixels
217,,400,,,32 MB,,,Chilli K188 Spinner,,‚¹945,0.3MP,1.1 MHz,,,,,120 x 240$$Pixels
218,,2700,,,32 MB,Hybrid Slot,,UI Phones Power 2,,"‚¹1,399",0.08MP,,,,,,320 x 480 Pixels
219,,950,,,32 MB,Dedicated Slot,,Gfive U550,No,‚¹699,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
220,,1750,,,256 MB,,,Micromax X072,Symbian Gingerbread 7.5,‚¹790,0.08MP,1.2 GHz,,,,,320 x 240 pixels Pixels
221,Yes,950,,,64 MB,Dedicated Slot,,Gfive U229 Combo of Three Mobile,0,"‚¹1,659",0.3MP,,,,,,128 x 160$$Pixels
222,Yes,2000,Yes,,8 GB,Dedicated Slot,,Intex Aqua Lions 4G ,Android Marshmallow 6.0,"‚¹4,699",5MP,1.3 GHz,Mini SIM and Micro SIM,2MP,"G-sensor, Proximity Sensor, GC Sensor, Light Sensor",146.7 g,854 x 480 pixels
223,Yes,2650,Yes,Adreno 506,32 GB,Hybrid Slot,,Asus Zenfone 3 ,Android Marshmallow 6,"‚¹11,999",16MP,2.0 GHz,Micro SIM and Nano SIM,8MP,"Accelerator, E-Compass, Gyroscope, Proximity Sensor, Hall Sensor, Ambient Light Sensor, RGB Sensor, IR Sensor, Fingerprint Scanner",144 g,1920 x 1080
224,,1000,,,32 KB,,,Iball Andi 2.4M,,"‚¹1,111",1.3MP,1 MHz,Micro SIM,,Accelerometer,200 g,
225,Yes,800,,,,Dedicated Slot,,JIVI N201 Selfie,,‚¹848,1.3MP,1 MHz,Normal SIM,0.3MP,,,240 x 320 pixels
226,,1800,,,32 MB,Dedicated Slot,,Gfive M11,No,"‚¹1,099",1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
227,Yes,1100,No,,,,No,Celkon C349 Star,,‚¹849,,,,,,,
228,,1000,,,32 MB,,,Micromax X071,,‚¹880,0.08MP,,Normal Sim,,,,128 x 160 Pixels
