,Unnamed: 0,3.5mm jack,Battery,Card slot,Clock Speed,GPS Support,GPU,ID,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
133,3127,Yes,3300.0,"microSD, up to 256 GB (uses SIM 2 slot)",Octa-core 2.2 GHz Cortex-A53,Yes,Adreno 506,3127,"64 GB, 4 GB RAM",Yes,Samsung Galaxy C7 Pro,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",440.29999999999995,"16 MP, f/1.9, autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","16 MP, f/1.9","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",172 g (6.07 oz)
134,3171,Yes,3000.0,"microSD, up to 256 GB",Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Yes,Adreno 530,3171,"32 GB, 4 GB RAM",Yes,Samsung Galaxy S7 ,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",440.29999999999995,"12 MP (f/1.7, 26mm, 1/2.5"", 1.4 Âµm, Dual Pixel PDAF), phase detection autofocus, OIS, LED flash","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)",Nano-SIM,"5 MP (f/1.7, 22mm, 1/4.1"", 1.34 Âµm), dual video call, Auto HDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",152 g (5.36 oz)
135,3175,Yes,2500.0,"microSD, up to 32 GB",Octa-core 1.4 GHz Cortex-A7,Yes,Mali-450MP4,3175,"16 GB, 2 GB RAM",,Micromax Canvas Nitro 3 E352,Android 5.1 (Lollipop),142.79999999999998,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",-
136,3176,Yes,2000.0,"microSD, up to 32 GB (dedicated slot)",Quad-core 1.2 GHz Cortex-A7,Yes,PowerVR SGX544,3176,"16 GB (10 GB user available), 1 GB RAM",,Micromax Canvas 4 A210,Android 4.2.1 (Jelly Bean),273.7,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM (dual stand-by),"5 MP, 720p","Accelerometer, proximity",158 g (5.57 oz)
137,3194,Yes,3300.0,"microSD, up to 256 GB (dedicated slot)",Octa-core 2.2 GHz Cortex-A53,Yes,Adreno 506,3194,"16 GB, 2 GB RAM",,Samsung Galaxy J7 V,Android 7.0.1 (Nougat),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Nano-SIM,5 MP,"Accelerometer, gyro, proximity, compass",167.3 g (5.89 oz)
138,3208,Yes,2500.0,"microSD, up to 64 GB (dedicated slot)",Quad-core 1.3 GHz Cortex-A53,Yes,Mali-T720,3208,"16 GB, 2 GB RAM",,Micromax Canvas 1,Android 7.0 (Nougat),105.0,"8 MP (f/2.2, 1.4 Âµm), autofocus, dual-LED dual-tone flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,"5 MP, LED flash","Accelerometer, proximity",150 g (5.29 oz)
139,3224,Yes,3300.0,"microSD, up to 256 GB (dedicated slot)",Octa-core 1.6 GHz Cortex-A53,Yes,Mali-T830 MP1,3224,"16/32 GB, 3 GB RAM",,Samsung Galaxy J7 Prime,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",249.89999999999998,"13 MP (f/1.9, 28mm), autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","8 MP, f/1.9","Fingerprint (front-mounted), accelerometer, proximity",167 g (5.89 oz)
140,3241,Yes,2600.0,"microSD, up to 128 GB (dedicated slot)",Quad-core 1.5 GHz Cortex-A7,Yes,Mali-400MP2,3241,"16 GB, 2 GB RAM",,Samsung Galaxy J2 Pro ,Android 6.0.1 (Marshmallow),190.39999999999998,"8 MP, f/2.2, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/2.2","Accelerometer, proximity",138 g (4.87 oz)
141,3266,Yes,3000.0,"microSD, up to 256 GB (uses SIM 2 slot)",Octa-core (4x2.4 GHz & 4x1.7 GHz),Yes,,3266,"32 GB, 4 GB RAM",,Samsung Galaxy C7 ,Android 7.1 (Nougat),476.0,"Dual: 13 MP (f/1.7, AF) + 5 MP (f/1.9, no AF), autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","16 MP, f/1.9","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",180 g (6.35 oz)
142,3270,Yes,3100.0,"microSD, up to 64 GB (dedicated slot)",Quad-core 1.6 GHz Cortex-A7,Yes,Adreno 305,3270,"16 GB (11 GB user available), 2 GB RAM",,Samsung Galaxy Note 3 Neo Duos,Android 4.3 (Jelly Bean),487.9,"8 MP (f/2.6, 31mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM, (Micro-SIM, dual stand-by)","2 MP (f/2.4, 27mm), 1080p","Accelerometer, gyro, proximity, compass",162.5 g (5.71 oz)
