ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
996,Yes,800,208 MHz,"microSD, up to 16 GB (dedicated slot)",No,,,,Samsung Guru Music 2,,About 20 EUR,,128 x 160 pixels (~102 ppi density),"Dual SIM, (Mini-SIM, dual stand-by)",,,75 g (2.65 oz)
997,Yes,2000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Studio G,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",About 80 EUR,"5 MP, autofocus, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)","Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",VGA,"Accelerometer, proximity",156 g (5.50 oz)
998,No,1000,32-bit STMicroelectronics Nomadik STn8815P14,"microSD, up to 8 GB (dedicated slot)",No,,100 MB,,Samsung L870,"Symbian 9.3, Series 60 rel. 3.2",About 130 EUR,"3.15 MP, autofocus","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,Yes,,120 g (4.23 oz)
999,Yes,3960,Dual-core 1.2 GHz Cortex-A9,No,Yes,PowerVR SGX540,"16/32 GB, 1 GB RAM",,Motorola DROID XYBOARD 8.2 MZ609  ,"Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)",About 290 EUR,"5 MP, autofocus, LED flash","800 x 1280 pixels, 16:10 ratio (~184 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, gyro, compass, barometer",390 g (13.76 oz)
1000,No,880,,microSD (dedicated slot),No,,30 MB,,Samsung E740,,About 120 EUR,2 MP,176 x 220 pixels (~141 ppi density),Mini-SIM,No,,92 g (3.25 oz)
1001,Yes,2400,Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-450MP4,"16 GB, 2 GB RAM",,Micromax Canvas Nitro 2 E311,Android 4.4.2 (KitKat),About 150 EUR,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",143 g (5.04 oz)
1002,No,1300,,"microSD, up to 8 GB (dedicated slot)",No,,26 MB,,Samsung B2700,,About 150 EUR,2 MP,176 x 220 pixels (~148 ppi density),Mini-SIM,Videocall camera,"Compass, altimeter",114 g (4.02 oz)
1003,Yes,2580,Quad-core 1.3 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,,"8 GB, 1 GB RAM",,alcatel Pixi 4 ,Android 5.1 (Lollipop),About 120 EUR,"13 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~184 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",8 MP,"Accelerometer, proximity",179 g (6.31 oz)
1004,Yes,3000,Dual-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,"4 GB, 512 MB RAM",,Celkon C720 ,Android 4.2.2 (Jelly Bean),,3.15 MP,"458 x 800 pixels, 16:9 ratio (~132 ppi density)",Micro-SIM,1.3 MP,Accelerometer,-
1005,No,670,,No,No,,2 MB,,alcatel OT-S218,,,,128 x 160 pixels (~114 ppi density),Mini-SIM,,,70 g (2.47 oz)
1006,No,1000,,"microSD, up to 8 GB (dedicated slot)",No,,,,Micromax X266,,About 30 EUR,1.3 MP,176 x 220 pixels (~128 ppi density),Dual SIM (Mini-SIM),No,,95 g (3.35 oz)
1007,No,860,,"microSD, up to 2 GB (dedicated slot), 512 MB/ 2 GB included",No,,64 MB,,Nokia 7610 Supernova,,About 100 EUR,"3.15 MP, autofocus, dual-LED","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,99 g (3.49 oz)
1008,Yes,2800,Quad-core 2.5 GHz Krait 400,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 330,"16 GB, 2 GB RAM",Yes,Samsung Galaxy S5 ,"Android 4.4.2 (KitKat), upgradable to 5.0.1 (Lollipop)",About 480 EUR,"16 MP (1/2.6"", 1.12 Âµm), phase detection autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)",Micro-SIM,"2 MP, 1080p@30fps, dual video call","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate",144.9 g (5.11 oz)
1009,No,,,"microSD, up to 8 GB (dedicated slot)",No,,,,Samsung Metro TV,,About 80 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,-
1010,No,900,123 MHz ARM925T,"RS-DV-MMC, 64 MB included",No,,8 MB,,Nokia 6670,"Symbian 7.0s, Series 60 v2.0 UI",,1 MP,176 x 208 pixels (~130 ppi density),Mini-SIM,No,,120 g (4.23 oz)
1011,Yes,2000,Quad-core 1.1 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 304,"8 GB, 1 GB RAM8 GB, 1.5 GB RAM (T-Mobile only)",,HTC Desire 626s,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",About 190 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Nano-SIM,"2 MP, 720p",Yes,138.9 g (4.90 oz)
1012,No,,,microSD (dedicated slot),Yes,,,,Motorola A840,,,"1.3 MP, LED flash",176 x 220 pixels (~128 ppi density),Mini-SIM,No,,115 g (4.06 oz)
1013,Yes,2020,Quad-core 1.5 GHz Cortex-A7,No,Yes,PowerVR SGX544MP2,"32 GB, 2 GB RAM",,BLU Life Pure,Android 4.2 (Jelly Bean),About 240 EUR,"13 MP, autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Micro-SIM,5 MP,"Accelerometer, proximity, compass",128 g (4.52 oz)
1014,Yes,3300,Octa-core 1.6 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T830 MP1,"32 GB, 3 GB RAM",,Samsung Galaxy J7 Prime 2,Android 7.0 (Nougat),About 200 EUR,"13 MP (f/1.9, 28mm), autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","13 MP, f/1.9, 1080p","Fingerprint (front-mounted), accelerometer, proximity",170 g (6.00 oz)
1015,No,900,,No,No,,10 MB,,Motorola PEBL U3,,About 60 EUR,VGA,128 x 160 pixels (~108 ppi density),Mini-SIM,No,,105 g (3.70 oz)
