ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
0,Yes,1900,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)",Yes,Adreno 306,"16 GB, 1 GB RAM",Yes,Samsung Galaxy A3 Duos,"Android 4.4.4 (KitKat), upgradable to 5.0.2 (Lollipop)",About 230 EUR,"8 MP (f/2.4, 31mm), autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.2, 23mm)","Accelerometer, proximity, compass",110.3 g (3.88 oz)
1,Yes,950,,"microSD, up to 32 GB (dedicated slot)",No,,4 MB RAM,,Nokia 108 Dual SIM,,About 30 EUR,VGA,128 x 160 pixels (~114 ppi density),"Dual SIM (Mini-SIM, dual stand-by)",No,,70.2 g (2.47 oz)
2,No,,,No,No,,,,Samsung M310,,About 80 EUR,VGA,128 x 160 pixels (~121 ppi density),Mini-SIM,No,,87 g (3.07 oz)
3,Yes,2200,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Adreno 302,"8 GB ROM, 1 GB RAM",,BLU Win HD,Microsoft Windows Phone 8.1,About 150 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM (Micro-SIM),2 MP,"Accelerometer, proximity",139 g (4.90 oz)
4,No,800,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C369,,About 30 EUR,"1.3 MP, LED flash",176 x 220 pixels (~128 ppi density),Dual SIM (Mini-SIM),No,,102 g (3.60 oz)
5,No,1700,Intel XScale 416 MHz,"microSD, up to 2 GB (dedicated slot)",No,,"3 GB (microdrive), 64 MB RAM",,Samsung i300,Microsoft Windows Mobile 2003 SE Smartphone,,"1.3 MP, LED flash","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,121 g (4.27 oz)
6,No,880,,microSD (dedicated slot),No,,20 MB,,Motorola W510,,About 50 EUR,1.3 MP,176 x 220 pixels (~148 ppi density),Mini-SIM,No,,107 g (3.77 oz)
7,No,950,,No,No,,,,Nokia 3510i,,,,"96 x 65 pixels, 3:2 ratio",Mini-SIM,,,106 g (3.74 oz)
8,Yes,3000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400MP2,"8 GB, 2 GB RAM",,Micromax Canvas Juice 2 AQ5001,Android 5.0 (Lollipop),About 130 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, proximity",170 g (6.00 oz)
9,No,850,,No,No,,1 GB,,Nokia 7900 Prism,,About 170 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,101 g (3.56 oz)
10,Yes,1000,,"microSD, up to 32 GB (dedicated slot)",No,,,,Samsung Trender,,About 70 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,Accelerometer,113 g (3.99 oz)
11,No,650,,No,No,,,,alcatel OT-216,,,VGA,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Mini-SIM,No,,60 g (2.12 oz)
12,No,750,,"microSD, up to 2 GB (dedicated slot)",No,,2 MB,,alcatel OT-C700A,,,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,83 g (2.93 oz)
13,Yes,1500,1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,1 GB,,Samsung Galaxy Proclaim S720C,Android 2.3 (Gingerbread),About 80 EUR,3.15 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Mini-SIM,No,Accelerometer,114.9 g (4.02 oz)
14,No,1200,,No,No,,,,alcatel OT Easy HF,,,,2 x 12 chars,Mini-SIM,,,160 g (5.64 oz)
15,Yes,1390,800 MHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 200,"1 GB, 512 MB RAM",,Motorola MOTO XT615,Android 2.3.7 (Gingerbread),About 120 EUR,"8 MP, autofocus, LED flash","480 x 854 pixels, 16:9 ratio (~245 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity, compass",123.6 g (4.34 oz)
16,Yes,1020,,"microSD, up to 8 GB (dedicated slot)",No,,30 MB,,Nokia 5220 XpressMusic,,About 110 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,78 g (2.75 oz)
17,Yes,3600,Dual-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,Vivante GC1000,"8 GB, 1 GB RAM",,Samsung Galaxy Tab 3 Lite 7.0 3G ,Android 4.2 (Jelly Bean),About 190 EUR,2 MP,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Micro-SIM,No,Accelerometer,322 g (11.36 oz)
18,Yes,960,,"microSD, up to 8 GB (dedicated slot)",No,,30 MB,,Samsung C3510 Genoa,,About 80 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,,92.2 g (3.25 oz)
19,Yes,1700,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 512 MB RAM",,BLU Studio G Mini,Android 6.0 (Marshmallow),,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Dual SIM (Micro-SIM),"2 MP, LED flash",Accelerometer,121 g (4.27 oz)
20,No,820,,No,No,,5 MB,,Motorola V535,,,VGA,176 x 220 pixels,Mini-SIM,No,,122 g (4.30 oz)
21,Yes,1000,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C6,,,1.3 MP,220 x 176 pixels (~141 ppi density),Dual SIM (Mini-SIM),No,,82 g (2.89 oz)
22,No,900,,No,No,,2.3 MB,,Nokia 6021,,About 100 EUR,,"128 x 128 pixels, 1:1 ratio (~116 ppi density)",Mini-SIM,,,88 g (3.10 oz)
23,No,1000,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C337,,,1.3 MP,176 x 220 pixels (~141 ppi density),Dual SIM (Mini-SIM),No,,-
24,No,750,,No,No,,600 KB,,Samsung C260,,About 60 EUR,,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Mini-SIM,,,74 g (2.61 oz)
25,No,750,,microSD (dedicated slot),No,,10 MB,,alcatel OT-S621,,,1.3 MP,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,69 g (2.43 oz)
26,No,,,No,No,,,,alcatel OT 332,,,,"96 x 65 pixels, 4 lines, 3:2 ratio",Mini-SIM,,,77 g (2.72 oz)
27,Yes,1000,,"microSD, up to 16 GB (dedicated slot)",No,,26 MB,,Samsung S3850 Corby II,,About 80 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",Mini-SIM,No,Accelerometer,102 g (3.60 oz)
28,No,1480,528 MHz ARM 11,"microSD, up to 16 GB (dedicated slot)",Yes,Adreno 130 GPU,"100 MB, 256 MB RAM, 256 MB ROM",,Samsung B7320 OmniaPRO,"MS Windows Mobile 6.1 Standard, upgradeable to Windows Mobile 6.5",About 110 EUR,3.15 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,CIF,,110 g (3.88 oz)
29,No,950,369 MHz ARM 11,"microSD, up to 4 GB (dedicated slot)",No,,"45 MB, 64 MB RAM",,Nokia 6290,"Symbian OS 9.2, S60 rel. 3.1",About 190 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,CIF videocall camera,,115 g (4.06 oz)
30,No,1100,,No,No,,,,Motorola T720,,,,"120 x 160 pixels, 9 lines, 4:3 ratio",Mini-SIM,,,100 g (3.53 oz)
31,Yes,900,,"microSD, up to 32 GB (dedicated slot)",No,,"1 GB ROM, 256 MB RAM",,BLU Neo Pro,,,3.15 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,,120 g (4.23 oz)
32,Yes,800,,"microSD, up to 2 GB (dedicated slot)",No,,20 MB,,Samsung F250,,About 80 EUR,1.3 MP,128 x 160 pixels (~102 ppi density),Mini-SIM,No,,96 g (3.39 oz)
33,Yes,3300,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot), 16 GB included",Yes,PowerVR SGX540,"8 GB, 1 GB RAM",,Motorola DROID RAZR MAXX,"Android 2.3.6 (Gingerbread), upgradable to 4.1 (Jelly Bean)",About 260 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Micro-SIM,"1.3 MP, 720p","Accelerometer, proximity, compass",145 g (5.11 oz)
34,,1600,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C69,,,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,,-
35,Yes,1300,650 MHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",No,PowerVR SGX531,180 MB,,Micromax A45,Android 2.3 (Gingerbread),About 70 EUR,2 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Dual SIM (Mini-SIM),No,,120 g (4.23 oz)
36,No,800,,No,No,,80 MB,,Samsung E780,,,2 MP,176 x 220 pixels,Mini-SIM,No,,90 g (3.17 oz)
37,Yes,2700,Quad-core 1.4 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 305,"32 GB, 3 GB RAM",,HTC Desire 10 Lifestyle,Android 6.0 (Marshmallow),About 260 EUR,"13 MP (f/2.2, 28mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.8, 34mm), 1080p, HDR","Accelerometer, proximity, compass",155 g (5.47 oz)
38,Yes,5100,Dual-core 1.4 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400,"16/32/64 GB, 1 GB RAM",,Samsung P6800 Galaxy Tab 7.7 ,Android 3.2 (Honeycomb),About 280 EUR,"3.15 MP, autofocus, LED flash, check quality","800 x 1280 pixels, 16:10 ratio (~196 ppi density)",Mini-SIM,2 MP,"Accelerometer, gyro, proximity, compass",340 g (11.99 oz)
39,No,1500,667 MHz,"microSD, up to 32 GB (dedicated slot)",Yes,,123 MB,,Samsung i225 Exec,Microsoft Windows Mobile 6.5 Standard,About 120 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,105 g (3.70 oz)
40,Yes,2000,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX544,"16 GB, 1 GB RAM",,BLU Life One,Android 4.2 (Jelly Bean),About 230 EUR,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",5 MP,"Accelerometer, gyro, proximity, compass",145 g (5.11 oz)
41,Yes,1540,Dual-core 1GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX540,"16 GB, 512 MB RAM",,Motorola DROID 3,"Android 2.3 (Gingerbread), not upgradable to 4.1 (Jelly Bean)",About 200 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~275 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity, compass",167 g (5.89 oz)
42,No,820,,No,No,,1 MB,,Motorola C257,,,,128 x 160 pixels,Mini-SIM,,,91 g (3.21 oz)
43,Yes,2600,Quad-core 2.3 GHz Krait 400,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 330,"16 GB, 2 GB RAM",,Samsung ATIV SE,"Microsoft Windows Phone 8, planned upgrade to 8.1",About 440 EUR,"13 MP, autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Micro-SIM,"2 MP, 1080p","Accelerometer, proximity",135.8 (4.80 oz)
44,Yes,1200,434 MHz ARM 11,"microSD, up to 16 GB (dedicated slot)",Yes,,"8 GB, 128 MB RAM",,Nokia N86 8MP,"Symbian 9.3, S60 rel. 3.2",About 180 EUR,"8 MP, wide 28mm Carl Zeiss lens, autofocus, dual-LED flash, check quality","240 x 320 pixels, 4:3 ratio (~154 ppi density)",Mini-SIM,VGA videocall camera,"Accelerometer, compass",149 g (5.26 oz)
45,Yes,2400,,"microSD, up to 8 GB (dedicated slot)",No,,,,Micromax X275,,About 40 EUR,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,-
46,Yes,4000,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB",Yes,Mali-T860MP2,"32 GB, 3 GB RAM",,alcatel A7 XL,Android 7.1 (Nougat),About 280 EUR,"Dual: 12 MP + 2 MP, phase detection autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Single SIM or Dual SIM,"5 MP, LED flash, 1080p","Fingerprint (rear-mounted), accelerometer, proximity, compass",175 g (6.17 oz)
47,Yes,1500,Quad-core 1.2 GHz,"microSD, up to 32 GB",Yes,Mali-400,"16 GB, 2 GB RAM",,Celkon 2GB Xpress,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",,"5 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~207 ppi density)",Dual SIM,1.3 MP,Accelerometer,134 g (4.73 oz)
48,No,1200,220 MHz ARM926EJ-S,microSD (dedicated slot),No,,"80 MB, 64 MB RAM, 128 MB ROM",,Samsung i620,Microsoft Windows Mobile 6.0 Standard Edition,About 130 EUR,"2 MP, LED flash","320 x 240 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,VGA videocall camera,,126.2 g (4.44 oz)
49,Yes,1300,800 MHz Cortex-A5,No,Yes,Adreno 200,"4 GB, 256 MB RAM",,Nokia Lumia 505,Microsoft Windows Phone 7.8,About 140 EUR,8 MP,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",Micro-SIM,No,"Accelerometer, proximity",131 g (4.62 oz)
50,Yes,5870,"Octa-core (4x1.9 GHz & 4x1.3 GHz) - T810, T815Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - T813N, T819N","microSD, up to 256 GB (dedicated slot)",Yes,"Mali-T760 MP6 - T810, T815Adreno 510 - T813N, T819N","32/64 GB, 3 GB RAM",,Samsung Galaxy Tab S2 9.7 ,"Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow) - T810, T815Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat) - T813N, T819N",About 400 EUR,"8 MP, autofocus","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Nano-SIM,2.1 MP,"Fingerprint (front-mounted), accelerometer, gyro, compass",389g (Wi-Fi) / 392g (LTE) (10.51 oz)
51,No,1050,,"microSD, up to 2 GB (dedicated slot)",No,,,,Micromax GC360,,About 40 EUR,Yes,176 x 220 pixels,Dual SIM (Mini-SIM),No,,105 g (3.70 oz)
52,Yes,1020,,"microSD, up to 32 GB (dedicated slot)",No,,,,Nokia 150,,About 30 EUR,"VGA, LED flash","240 x 320 pixels, 4:3 ratio (~167 ppi density)","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",No,,81 g (2.86 oz)
53,Yes,,1.0 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,Adreno 200,"512 MB, 512 MB RAM",,Motorola ATRIX TV XT687,Android 4.0 (Ice Cream Sandwich),About 210 EUR,"8 MP, autofocus, LED flash","480 x 854 pixels, 16:9 ratio (~245 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",VGA,"Accelerometer, proximity, compass",129.7 g (4.55 oz)
54,No,960,,microSD (dedicated slot),No,,25 MB,,Samsung P260,,,2 MP,176 x 220 pixels (~134 ppi density),Mini-SIM,No,,116 g (4.09 oz)
55,No,700,,"microSD, up to 2 GB (dedicated slot)",No,,8 MB,,Nokia 7373,,About 150 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,104 g (3.67 oz)
56,Yes,1620,Dual-core 1.2 GHz Scorpion,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 220,"16 GB, 1 GB RAM",,HTC Vivid,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",About 160 EUR,"8 MP, autofocus, dual-LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, proximity, compass",176.9 g (6.21 oz)
57,Yes,2600,Quad-core 2.3 GHz,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 330,"16 GB, 2 GB RAM",Yes,HTC One ,"Android 4.4.2 (KitKat), upgradable to 4.4.4 (KitKat)",About 300 EUR,"Dual: 4 MP (1/3"", 2 Âµm) autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","5 MP, 1080p@30fps, HDR","Accelerometer, gyro, proximity, compass, barometer",160 g (5.64 oz)
58,Yes,960,,"microSD, up to 8 GB (dedicated slot)",No,,20 MB,,Samsung Ch@t 350,,About 80 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,99.8 g (3.49 oz)
59,No,1500,800MHz ARM 1176,"microSD, up to 32 GB (dedicated slot)",Yes,,250 MB,,Samsung B7300 OmniaLITE,"Microsoft Windows Mobile 6.1 Professional, upgradeable to Windows Mobile 6.5",About 150 EUR,"3.15 MP, autofocus, check quality","240 x 400 pixels, 5:3 ratio (~155 ppi density)",Mini-SIM,Videocall camera,Accelerometer,103 g (3.63 oz)
60,No,,1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,"4 GB, 1 GB RAM",,alcatel One Touch Evo 7 ,Android 4.0 (Ice Cream Sandwich),About 100 EUR,VGA,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Single SIM or Dual SIM (dual stand-by),No,,390 g (13.76 oz)
61,Yes,,Dual-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,130 MB,,Micromax Ninja A54,Android 2.3 (Gingerbread),About 70 EUR,3.15 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Dual SIM,No,"Accelerometer, proximity",109 g (3.84 oz)
62,Yes,910,,"microSD, up to 32 GB (dedicated slot)",No,,"64 MB RAM, 128 MB ROM",,Motorola WILDER,,About 60 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,,92 g (3.25 oz)
63,Yes,2000,,"microSD, up to 8 GB",No,,,,Celkon C44+,,,1.3 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM,No,,-
64,Yes,1000,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C444,,About 20 EUR,1.3 MP,128 x 160 pixels (~114 ppi density),Dual SIM (Mini-SIM),No,,67 g (2.36 oz)
65,Yes,1500,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Dash Music 4.0,Android 4.2 (Jelly Bean),About 80 EUR,3.15 MP,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,"Accelerometer, gyro, proximity, compass",128 g (4.52 oz)
66,No,1000,184 MHz,"microSD, up to 16 GB (dedicated slot)",Yes,,50 MB,,Samsung :) Smiley,,About 130 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio",Mini-SIM,No,,112.8 g (3.95 oz)
67,Yes,1650,1.0 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 200,"4 GB, 512 MB RAM",,HTC Desire VC,Android 4.0 (Ice Cream Sandwich),About 150 EUR,"5 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,"Accelerometer, proximity",119 g (4.20 oz)
68,Yes,1860,1.0 GHz Cortex-A8,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,PowerVR SGX530,"2 GB, 512 MB RAM",,Motorola DROID PRO XT610,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",About 110 EUR,"5 MP, autofocus, dual-LED flash","320 x 480 pixels, 3:2 ratio (~186 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",134 g (4.73 oz)
69,Yes,960,,"microSD, up to 16 GB (dedicated slot)",Yes,,150 MB,,Samsung B5310 CorbyPRO,,About 100 EUR,"3.15 MP, video, check quality","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,Yes,Accelerometer,135 g (4.76 oz)
70,No,850,,No,No,,,,Motorola W208,,About 40 EUR,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",Mini-SIM,,,78 g (2.75 oz)
71,Yes,650,52 MHz,No,No,,1.8 MB,,alcatel OT-361,,,VGA,128 x 160 pixels (~116 ppi density),Mini-SIM,No,,74 g (2.61 oz)
72,Yes,1400,Dual-core 1.0 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Life Play Mini,Android 4.4.2 (KitKat),About 70 EUR,"3.15 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",VGA,"Accelerometer, proximity",106 g (3.74 oz)
73,No,880,,microSD (dedicated slot),No,,128 MB,,Samsung U900 Soul,,About 120 EUR,"5 MP, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,Yes,,112 g (3.95 oz)
74,Yes,1830,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 305,"8 GB, 512 MB RAM",,Nokia Lumia 630,Microsoft Windows Phone 8.1,About 110 EUR,"5 MP (1/4""), autofocus, check quality","480 x 854 pixels, 16:9 ratio (~221 ppi density)",Micro-SIM,No,"Accelerometer, sensor core",134 g (4.73 oz)
75,Yes,2400,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)",Yes,Adreno 306,"16 GB, 1.5 GB RAM",,Samsung Galaxy E5,Android 4.4.4 (KitKat),About 200 EUR,"8 MP (f/2.2, 31mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.2, 23mm), 1080p@30fps","Accelerometer, proximity",-
76,No,1000,,No,No,,90 MB,,Samsung E720,,,"1 MP, LED flash","176 x 220 pixels, 9 lines",Mini-SIM,No,,80 g (2.82 oz)
77,Yes,2500,Quad-core 1.1 GHz,"microSD, up to 32 GB",Yes,,"4 GB, 1 GB RAM",,Micromax Canvas Pace 4G Q416,Android 5.1 (Lollipop),,"5 MP, autofocus, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",-
78,Yes,4000,1.2 GHz Cortex-A8,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX540,2 GB,,Samsung Galaxy Tab 4G LTE ,Android 2.2 (Froyo),About 240 EUR,"5 MP, autofocus, LED flash","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, gyro, proximity, compass",380 g (13.40 oz)
79,Yes,1650,1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,512 MB RAM,,Samsung Galaxy Attain 4G,Android 2.3 (Gingerbread),About 100 EUR,3.15 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, proximity, compass",119.1 g (4.20 oz)
80,Yes,2000,Dual-core 1.3 GHz,"microSD, up to 32 GB",Yes,,"4 GB, 512 MB RAM",,Celkon A125,Android 4.2.2 (Jelly Bean),About 80 EUR,5 MP,960 x 854 pixels (~286 ppi density),Dual SIM (Mini-SIM),1.3 MP,"Accelerometer, proximity",78.2 (2.75 oz)
81,No,700,,"microSD, up to 4 GB (dedicated slot)",No,,36 MB,,Motorola COCKTAIL VE70,Linux / Java-based MOTOMAGX,About 130 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,,123 g (4.34 oz)
82,No,810,,No,No,,10 MB,,Motorola V230,,,,128 x 160 pixels,Mini-SIM,,,96 g (3.39 oz)
83,Yes,1300,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Advance 4.0 L,Android 4.4 (KitKat),,"3.15 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",VGA,Accelerometer,121 g (4.27 oz)
84,Yes,3000,Octa-core 1.4 GHz Cortex-A53,"microSD, up to 64 GB",Yes,Adreno 505,"64 GB, 4 GB RAM",,BLU Life One X2 Mini,Android 6.0 (Marshmallow),About 170 EUR,"13 MP, phase detection autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","8 MP, LED flash","Fingerprint (rear-mounted), accelerometer, gyro, proximity",152 g (5.36 oz)
85,Yes,2600,Quad-core 2.3 GHz Krait 400,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 330,"16 GB, 3 GB RAM",Yes,Samsung Galaxy J,"Android 4.3 (Jelly Bean), upgradable to 5.0 (Lollipop)",About 450 EUR,"13 MP, autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Micro-SIM,"2 MP, 1080p@30fps, dual video call","Accelerometer, gyro, proximity, compass, barometer, temperature, humidity, gesture",146 g (5.15 oz)
86,No,860,,No,No,,"12 MB, 4 MB RAM, 32 MB ROM",,Nokia 2680 slide,,About 70 EUR,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,97 g (3.42 oz)
87,Yes,1400,1GHz Scorpion,"microSD, up to 32 GB (dedicated slot), 32 GB included",Yes,Adreno 205,"4 GB, 768 MB RAM",,HTC ThunderBolt 4G,"Android 2.2 (Froyo), upgradable to 4.0 (Ice Cream Sandwich)",About 230 EUR,"8 MP, autofocus, dual-LED flash","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, proximity, compass",164 g (5.78 oz)
88,No,250,Dual-core 1.0 GHz Cortex-A7,No,No,Mali-400MP2,"4 GB, 512 MB RAM",Yes,Samsung Gear S2 classic,Tizen-based wearable platform,About 270 EUR,,"360 x 360 pixels, 1:1 ratio (~302 ppi density)",No,,"Accelerometer, gyro, heart rate, barometer",42 g (1.48 oz)
89,No,960,200 MHz ARM926EJ-S,MMC/SD,No,,32 MB,,Motorola MPx,Microsoft PocketPC 2003 SE,,"1.3 MP, LED flash","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,,174 g (6.14 oz)
90,Yes,650,52 MHz,"microSD, up to 2 GB (dedicated slot)",No,,0.2 MB,,alcatel OT-318D,,,VGA,120 x 160 pixels (~114 ppi density),Dual SIM (Mini-SIM),No,,71 g (2.50 oz)
91,No,750,,microSD (dedicated slot),No,,15 MB,,Samsung E390,,About 140 EUR,1.3 MP,176 x 220 pixels (~141 ppi density),Mini-SIM,No,,80 g (2.82 oz)
