,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
15,,,HSPA+,,,,,3.5 mm,,2900 mAh,,Yes,4.2,,,,,,,5.2 inch,Triluminos,,256 GB,,,,,,Yes,,,,64 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,Yes,"Sony Xperia XZs (Ice Blue, 64 GB)Â Â (4 GB RAM)",Android Nougat 7,"X-Reality for Mobile Picture Engine, Dynamic Contrast Enhancer, sRGB 138%, Corning Gorilla Glass",,"‚¹41,990",19MP,Yes,"Slow Motion Camera, Motion Eye Camera, 1/2.3 inch Exmor RS for Mobile Memory Stacked Sensor, Pixel Pitch 1.22 micrometer, Triple Image Sensing Technology, Predictive Hybrid Autofocus, Predictive Capture, 0.5 sec Quick Launch and Capture, Anti-distortion Shutter, Low-light Photo: ISO12800/4000 (Video), HDR Photo, 25 mm Wide G Lens F2.0, BIONZ for Mobile Image-processing Engine, SteadyShot with Intelligent Active Mode (5-axis stablization)",2.2 GHz,Quad Core,Qualcomm Snapdragon 820 64-bit,,4 GB,1920 x 1080 pixels,,,Nano SIM,Yes,13MP,Yes,"Wide Angle Selfie Camera, 1/3.06 inch Exmor RS for Mobile Image Sensor, 22 mm Wide-angle Lens F2.0, ISO 6400 (Photo) / 1600 (Video), SteadyShot with Intelligent Active Mode (5-axis Stablization)",Fingerprint Sensor,,,"4G LTE, 4G LTE",,,,,161 g,
16,,,,,,,,3.5 mm,,800 mAh,,Yes,,,,,,,262 K,1.8 inch,,,32 GB,Yes,,,,,,,,,32 MB,GPRS,,Dedicated Slot,,,,,Intex Eco Sports+Â Â (Black and Red),,,,‚¹728,0.08MP,Yes,,,,,,,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,72 g,
17,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,,5.2 inch,IPS,,128 GB,Yes,,,Class 12,,Yes,Adreno 510 @550 MHz,,,32 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,,"LYF Water F1S (Black, 32 GB)Â Â (3 GB RAM)",Android Marshmallow 6,"Screen Protection: Corning Concore Glass 3, Screen Mirroring, Pixel Density: (W) 0.020 mm (H) 0.060 mm",,"‚¹20,249",16MP,Yes,"Auto Frame Rate, Red Eye Reduction, Continuous Auto Focus, Video HDR Supported in Code Chroma Flash, OptiZoom, UbiFocus (MultiFocus), LLV, LLP, EIS",1.8 GHz,Octa Core,Qualcomm Snapdragon 652 Octa Core 1.8GHz,,3 GB,1920 x 1080 pixels,,,Nano SIM and Nano SIM,Yes,5MP,Yes,Fixed Focus,"Accelerometer, Proximity Sensor, Gyroscope, E-Compass, Ambient Light Sensor, Hall Sensor",,,"4G LTE, 4G LTE",,,,,146 g,802.11 b/g/n/a/ac
18,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K35Â Â (Red),,,,‚¹799,0.3MP,Yes,,,,,,32 MB,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
19,,,,,,,,,,900 mAh,,,,,,,,,,3 inch,,,,,,,,,,,Yes,,4 MB,,,,,,,,Nokia 1110IÂ Â (Black & Silver),,,,‚¹980,0MP,,,1 MHz,,,,4 MB,128 x 160$$Pixels,,,,Yes,,,,,,,GSM,,,,,,
20,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,"I Kall K3310 Combo Of Two MobileÂ Â (Yellow, Red)",,,,"‚¹1,199",0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
21,,,,,,,,3.5 mm Stereo,,3000 mAh,,Yes,v4.1,,,,,,16 M,5.5 inch,Super AMOLED,,256 GB,,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,"Samsung Galaxy J7 Nxt (Gold, 16 GB)Â Â (2 GB RAM)",Android Nougat 7.0,,,"‚¹9,990",13MP,Yes,"f1.9, Auto Focus",1.6 GHz,Octa Core,Exynos Octa-Core 1.6 GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM (3FF),,5MP,Yes,f2.2,"Accelerometer, Proximity Sensor",,,4G LTE,,,,,170 g,802.11 b/g/n (2.4 GHz)
22,,,"HSDPA (Downlink Speed): Rel.7 21 Mbps Downlink, HSUPA (Uplink Speed): Rel.7 5.76 Mbps Uplink",,,,,3.5 mm,,2500 mAh,,Yes,4,,,,,,16.7 M,5.0 inch,TFT,,32 GB,Yes,,,Class 12,,Yes,Mali - T720 MP1,,,16 GB,"4G, 3G, Wi-Fi, WAP, GPRS",,Dedicated Slot,,,,,"Micromax Bharat 4 (Black/Jet Black, 16 GB)Â Â (1 GB RAM)",Android Nougat 7,"Pinch Zoom, x2 Multitouch",,"‚¹4,999",5MP,Yes,"Fixed Focus, 1944 x 2592 Pixels, Zoom Level x4, Brightness Level: 0 - 6, Multi Shot: 3, 6, 10, Night Mode, Video Recording: 720p",1.3 GHz,Quad Core,MT6737,,1 GB,1280 x 720 Pixels,,,Micro SIM and Micro SIM,Yes,5MP,Yes,"Fixed Focus, 1944 x 2592 Pixels","Gravity Sensors, Proximity Sensor (By SW)",,,"4G VoLTE, GSM, UMTS, 4G LTE, WCDMA",,,,,150 g,802.11b/g/n
23,,,,,,,,3.5 mm,,1750 mAh,,Yes,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,,,,Dedicated Slot,,,,,Lava Captain K1 PlusÂ Â (Black Red),,,,‚¹939,0.3MP,Yes,,,,SC6531DA,,,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,120 g,
24,,,,,,,,,,2820 mAh,,Yes,,,,,,,,5.5 inch,IPS,,32,,,,,,,,,,16 GB,,,,,,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,,,"‚¹6,499",13MP,Yes,,1.2 GHz,Quad Core,,,2 GB,1280 x 720 Pixels,,,Nano SIM,Yes,5MP,Yes,,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",,,"UMTS, UMTS",,,,,100 g,
25,,,,,,,,3.5 mm,,1800,,Yes,,,,,,,,2.4,,,32 GB,Yes,,,,,,,,,2 MB,,,Dedicated Slot,,,,,Fox Champ FX240Â Â (Black),,,,‚¹999,0.3MP,Yes,,1 MHz,,,,1 MB,240 x 320$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
26,,,,,,,,,,2000 mAh,,,,,,,,,,4 inch,,,,,,,,,,,,,4 GB,,,Dedicated Slot,,,,,"Karbonn Alfa A91 Storm 3G (Black & Gun Metal, 4 GB)Â Â (512 MB RAM)",Android Lollipop 5.1,,,"‚¹2,548",2MP,,,1.2 GHz,Quad Core,,,512 MB,480 x 800,,,,,,,,,,,"GSM, WCDMA",,,,,,
27,,,,,,,,,,1750 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,256 MB,,,,,,,,Micromax Dual SimÂ Â (White),0,,,"‚¹1,049",0.3MP,,,,,,,,320 x 240,,,,,,,,,,,"GSM, GSM",,,,,,
28,,,,,,,,,,2200 mAh,,Yes,4,,,,,,,5 inch,IPS On Cell,,128 GB,,,,,,Yes,,,,16 GB,"3G, 4G, EDGE, GPRS, Wi-Fi",,Hybrid Slot,,,,,"Panasonic Eluga I2 Activ (Gold, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,HD IPS On Cell Display with Asahi Dragontrail Glass,,"‚¹7,499",8MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: HDR, Panoramic",1.25 GHz,Quad Core,MTK6737,,2 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"F2.2 Aperture, 4P Lens Elements, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,133 g,802.11 b/g/n
29,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,1+1=2 D6Â Â (Grey),0,,,‚¹669,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
30,,,,,,,,,,2200 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mezire G3310Â Â (Red),,,,"‚¹1,234",0.03MP,,,1.2 MHz,,,,32 MB,176 x 220$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
31,,,,,,,,,,5000 mAh,,Yes,4,,,,,,Ashai Enabled Glass for Display Protection,5.5 inch,IPS,,128 GB,,,,,,Yes,,,,16 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,"Panasonic P55 Max (Champagne Gold, 16 GB)Â Â (3 GB RAM)",Android Nougat 7.0,,,"‚¹7,999",13MP,Yes,"5P Lens Element Modes: Normal, Beauty, Panorama",1.25 GHz,Quad Core,MediaTek MTK6737 Quad Core 1.25 GHz,,3 GB,1280 x 720 pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"Normal, Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G LTE, 4G LTE",,,,,180 g,802.11 b/g/n
32,,,,,,,,,,600 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,256 MB,,,Dedicated Slot,,,,,GreenBerry M1Â Â (Gold),,,,‚¹999,2MP,,,,,,,256 MB,320 x 480 Pixels,,,Micro SIM,Yes,,,,,,,GSM,,,,,,
33,,,,,,,,,,3090 mAh,,Yes,,,,,,,,5.3 inch,,,256 GB,,,,,,Yes,,,,64 GB,"4G, 3G, Wi-Fi",,,,,,,"Nokia 8 (Steel, 64 GB)Â Â (4 GB RAM)",Android Nougat 7.1.1,,,"‚¹29,999",13MP + 13MP,Yes,Dual Sight Mode,2.5 GHz,Octa Core,,,4 GB,2560 x 1440 Pixels,,,Nano SIM and Nano SIM,Yes,13MP,Yes,,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,,"4G LTE, UMTS, WCDMA",,,,,,
34,,,,,,,,,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K 20Â Â (Black & Red),,,,‚¹549,0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
35,,,,,,,,,,3020 mAh,,,,,,,,,,5.5 inch,IPS,,128 GB,,,,,,,,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,"Lava Z25 (Gold, 32 GB)Â Â (4 GB RAM)",Android Marshmallow 6,"2.5D Curved Glass with Metallic Frame, Brightness: 500 nits",,"‚¹14,990",13MP,Yes,"Sony Exmor RS IMX 258 Sensor, Aperture 2.0",1.5 GHz,Octa Core,Mediatek MT6750 Octa Core 1.5GHz,,4 GB,1280 x 720 pixels,,,,Yes,8MP,Yes,"Aperture 2.0, Selfies",Fingerprint Sensor,,,"4G LTE, 4G LTE",,,,,163 g,
36,,,,,,,,3.5 mm,,3000 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,InFocus F229Â Â (Black & Blue),,,,"‚¹1,199",1.3MP,Yes,,,,,,32 MB,320 x 240 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
37,,,,,,,,,,800,,,,,,,,,,1.8,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K12Â Â (Black),,,,‚¹599,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
38,,,,,,,,,,600 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,256 MB,,,Dedicated Slot,,,,,GreenBerry M3Â Â (Rose Gold),,,,‚¹999,2MP,,,,,,,256 MB,320 x 480 Pixels,,,Micro SIM,Yes,,,,,,,GSM,,,,,,
39,,,,,,,,,,1750,,,,,,,,,,2.2,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Citycall M87Â Â (Coffee),,,,"‚¹1,099",1.2MP,,,1.2 MHz,,,,64 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
40,,,,,,,,,,3090 mAh,,Yes,,,,,,,,5.3 inch,,,256 GB,,,,,,Yes,,,,64 GB,"4G, 3G, Wi-Fi",,,,,,,"Nokia 8 (Polished Blue, 64 GB)Â Â (4 GB RAM)",Android Nougat 7.1.1,,,"‚¹29,960",13MP + 13MP,Yes,Dual Sight Mode,2.5 GHz,Octa Core,,,4 GB,2560 x 1440 Pixels,,,Nano SIM and Nano SIM,Yes,13MP,Yes,,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,,"4G LTE, UMTS, WCDMA",,,,,,
41,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,GLX W8Â Â (Black),0,,,‚¹569,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
42,,,,,,,,3.5 mm,,3000 mAh,,Yes,4.1,,,,,,,5.2 inch,IPS LCD,,128 GB,,,,,,,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,"Nokia 5 (Matte Black, 16 GB)Â Â (3 GB RAM)",Android Nougat 7.1.1,"Aspect Ratio: 16:9, 2.5D Sculpted Corning Gorilla Glass, BrightnessÂ 500 nits, Laminated, Sunlight Visibility Improvement, Polarizer",,"‚¹11,499",13MP,Yes,"PDAF, 1.12 micrometer, f/2",1.4 GHz,Octa Core,Qualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz,,3 GB,1280 x 720 Pixels,,,,Yes,8MP,Yes,"Auto Focus, 1.12 micrometer, f/2, FOV 84Degree","Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Fingerprint Sensor, Hall Sensor, Gyroscope, Proximity Sensor, NFC (Sharing)",,,"4G VoLTE, UMTS, WCDMA, GSM, 4G LTE",,,,,,
43,,,,,,,,3.5 mm,,2000 mAh,,Yes,,,,,,,16.7 M,4.7 inch,IPS,,32 GB,Yes,,,,,Yes,,,,8 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,"Intex Aqua Amaze Plus (Black, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6,"77.80 % Screen to Body Ratio, 2 Fingers Touch",,"‚¹4,145",5MP,Yes,"Auto Focus, Make: CW3611-FG3, Aspect Ratio: 16:09, Face Beauty, Panorama, HDR, Face Detection",1.3 GHz,Quad Core,SC9832A,,1 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"Selfie, Fixed Focus, CW3611-FK3, Sensor: SAMSUNG","GC Sensor, G-sensor, Proximity Sensor, Light Sensor 3 in 1",,,"4G LTE, 4G LTE",,,,,128 g,
44,,,,,,,,,,2500 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,"Celkon U Feel Pro (Black & Gold, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6.0,,,"‚¹3,999",5MP,,,1.2 GHz,Quad Core,,,1 GB,720 x 1280$$Pixels,,,,,,,,,,,"4G VoLTE, WCDMA",,,,,,
45,,,,,,,,3.5 mm,,1700 mAh,,,,,,,,,,2.4 inch,LCD,,16 GB,,,,,,,,,,32 MB,,,,,,,,Chilli B39Â Â (Silver),Symbian,Unbreakable Glass,,"‚¹1,099",1.3MP,Yes,1.3 megapixel,,Single Core,,,32 MB,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
46,,,,,,,,3.5 mm,,2300 mAh,,,4.1,,,,,,16 M,4.93 inch,,,128 GB,Yes,,,,,Yes,,,,16 GB,,,Hybrid Slot,,,,,"LG X Screen K500I (Black, 16 GB)Â Â (2 GB RAM)",Android Marshmallow 6,,,"‚¹9,810",13MP,Yes,,1.2 GHz,Quad Core,Qualcomm Snapdragon 410,,2 GB,1280 x 720 Pixels,,,Nano SIM,,5MP,,,,,,"4G LTE, WCDMA",,,,,120 g,
