,2G bands,3.5mm jack,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery,Battery life,Bluetooth,Bluetooth Support,Browser,Browser,Build,CPU,Camera,Card slot,Chipset,Colors,Dimensions,Display,EDGE,Expandable Storage,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Messaging,Multitouch,Music play,NFC,Name,OS,Performance,Price,Primary,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Protection,RAM,Radio,Resolution,SAR,SAR EU,SIM,SMS,Secondary,Secondary Camera Available,Secondary Camera Features,Sensors,Size,Speed,Stand-by,Status,Talk time,Technology,Type,USB,Video,WLAN,Weight,Wi-Fi Version
85,GSM 900 / 1800 / 1900 ,Yes,HSDPA 800 / 850 / 2100 ,"LTE band 1(2100), 3(1800), 8(900)","Vibration; MP3, WAV ringtones","2013, December",,,Removable Li-Ion 2600 mAh battery,,"4.0, A2DP, EDR, LE",,HTML5,HTML5,,Quad-core 2.3 GHz Krait 400,,"microSD, up to 64 GB (dedicated slot)",Qualcomm MSM8974 Snapdragon 800,"White, Pink",137 x 70 x 8.6 mm (5.39 x 2.76 x 0.34 in),,Yes,,"Geo-tagging, touch focus, face/smile detection, HDR",Yes,,"Yes, with A-GPS, GLONASS",,Adreno 330,,"16 GB, 3 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,Yes,Samsung Galaxy J,"Android 4.3 (Jelly Bean), upgradable to 5.0 (Lollipop)",,About 450 EUR,"13 MP, autofocus, LED flash",,,,Corning Gorilla Glass 3,,No,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",0.95 W/kg (head)     1.10 W/kg (body)     ,0.39 W/kg (head)     0.29 W/kg (body)     ,Micro-SIM,,"2 MP, 1080p@30fps, dual video call",,,"Accelerometer, gyro, proximity, compass, barometer, temperature, humidity, gesture","5.0 inches, 68.9 cm2 (~71.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Available. Released 2013, December",,GSM / HSPA / LTE,"Super AMOLED capacitive touchscreen, 16M colors","microUSB 2.0 (MHL 2 TV-out), USB Host","2160p@30fps, dual-video rec.","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",146 g (5.15 oz),
86,GSM 900 / 1800 ,No,,,"Vibration, MP3 ringtones","2008, April. Released 2008, September",,,Removable Li-Ion 860 mAh battery (BL-4S),,"2.0, A2DP, EDR",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,No,,"Slate Gray, Night Blue, Orange, Violet","99 x 47 x 15 mm, 61.7 cc (3.90 x 1.85 x 0.59 in)",,Class 6,,,Class 10,,No,,,,"12 MB, 4 MB RAM, 32 MB ROM",,,,"SMS, MMS, Email",,,,Nokia 2680 slide,,,About 70 EUR,VGA,,,,,,"FM radio, recording",128 x 160 pixels (~114 ppi density),1.28 W/kg (head)     0.47 W/kg (body)     ,0.64 W/kg (head)     ,Mini-SIM,,No,,,,"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",,Up to 420 h,Discontinued,Up to 3 h 30 min,GSM,"TFT, 65K colors",No,128x96@7fps,No,97 g (3.42 oz),
87,CDMA 800 / 1900 ,Yes,CDMA2000 1xEV-DO ,LTE band 13(700),"Vibration; MP3, WAV ringtones","2011, January. Released 2011, March",,,Removable Li-Ion 1400 mAh battery,,"2.1, A2DP, EDR",,"HTML, Adobe Flash","HTML, Adobe Flash",,1GHz Scorpion,,"microSD, up to 32 GB (dedicated slot), 32 GB included",Qualcomm MSM8655 Snapdragon S2,Black,122 x 66 x 13 mm (4.80 x 2.60 x 0.51 in),,No,,"Geo-tagging, face detection",No,,"Yes, with A-GPS",,Adreno 205,,"4 GB, 768 MB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,HTC ThunderBolt 4G,"Android 2.2 (Froyo), upgradable to 4.0 (Ice Cream Sandwich)",,About 230 EUR,"8 MP, autofocus, dual-LED flash",,,,Corning Gorilla Glass,,"Stereo FM radio, RDS","480 x 800 pixels, 5:3 ratio (~217 ppi density)",1.20 W/kg (head)     1.46 W/kg (body)     ,,Mini-SIM,,1.3 MP,,,"Accelerometer, proximity, compass","4.3 inches, 52.6 cm2 (~65.4% screen-to-body ratio)","EV-DO Rev.A 3.1 Mbps, LTE",Up to 330 h,Discontinued,Up to 6 h 30 min,CDMA / EVDO / LTE,"TFT capacitive touchscreen, 16M colors",microUSB 2.0,720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",164 g (5.78 oz),
88, N/A,No,,,"Vibration; MP3, WAV ringtones","2015, August",,,Non-removable Li-Ion 250 mAh battery,,"4.1, A2DP, LE",,No,No,Stainless Steel,Dual-core 1.0 GHz Cortex-A7,,No,Exynos 3250 Dual,"Black, 18K rose gold, Platinum, ceramic bracelet",43.6 x 39.9 x 11.4 mm (1.72 x 1.57 x 0.45 in),,No,,,No,,No,,Mali-400MP2,,"4 GB, 512 MB RAM",,,,"SMS(threaded view), MMS, Email, IM",Yes,,Yes,Samsung Gear S2 classic,Tizen-based wearable platform,,About 270 EUR,,,,,Corning Gorilla Glass 3,,No,"360 x 360 pixels, 1:1 ratio (~302 ppi density)",,,No,,,,,"Accelerometer, gyro, heart rate, barometer","1.2 inches, 9.2 cm2 (~52.6% screen-to-body ratio)",,Up to 48 h (mixed usage) (2G) / Up to 48 h (3G),"Available. Released 2015, October",,No cellular connectivity,"Super AMOLED capacitive touchscreen, 16M colors",No,,Wi-Fi 802.11 b/g/n,42 g (1.48 oz),
89,GSM 900 / 1800 / 1900 ,No,,,Vibration; Polyphonic(24) ringtones,"2004, Q1",,,Removable Li-Ion 960 mAh battery,,1.1,,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,200 MHz ARM926EJ-S,,MMC/SD,TI OMAP 1710,,"99.7 x 61.2 x 24 mm, 140 cc (3.93 x 2.41 x 0.94 in)",,No,,,Yes,,No,,,,32 MB,,,,"SMS, MMS, Email",,,,Motorola MPx,Microsoft PocketPC 2003 SE,,,"1.3 MP, LED flash",,,,,,No,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,Mini-SIM,,No,,,,"2.8 inches, 42 x 57 mm, 24.3 cm2 (~39.8% screen-to-body ratio)",,Up to 100 h,Discontinued,Up to  3 h,GSM,"TFT resistive touchscreen, 65k colors",Proprietary,Yes,Wi-Fi 802.11b,174 g (6.14 oz),
90,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,,,Vibration; MP3 ringtones,"2012, January. Released 2012, January",,,Removable Li-Ion 650 mAh battery,,2,,WAP 2.0/xHTML,WAP 2.0/xHTML,,52 MHz,,"microSD, up to 2 GB (dedicated slot)",,"White, Deep Red, Black",109 x 46 x 14 mm (4.29 x 1.81 x 0.55 in),,No,,No,Class 10,,No,,,,0.2 MB,,,,"SMS, MMS",,,,alcatel OT-318D,,,,VGA,,,,,,"FM radio, RDS",120 x 160 pixels (~114 ppi density),,,Dual SIM (Mini-SIM),,No,,,,"1.8 inches, 10.2 cm2 (~20.3% screen-to-body ratio)",,Up to 270 h,Discontinued,Up to 7 h,GSM,"TFT, 256K colors",microUSB,No,No,71 g (2.50 oz),
91,GSM 850 / 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2006, October",,,Removable Li-Ion 750 mAh battery,,"2.0, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,microSD (dedicated slot),,Black,93 x 45 x 16 mm (3.66 x 1.77 x 0.63 in),,Yes,,,Class 10,,No,,,,15 MB,,,,"SMS, EMS, MMS, Email",,,,Samsung E390,,,About 140 EUR,1.3 MP,,,,,,No,176 x 220 pixels (~141 ppi density),0.46 W/kg (head)     0.60 W/kg (body)     ,0.46 W/kg (head)     ,Mini-SIM,,No,,,,"2.0 inches, 12.6 cm2 (~30.1% screen-to-body ratio)",,,Discontinued,,GSM,"TFT, 65K colors",Proprietary,Yes,No,80 g (2.82 oz),
92,GSM 900 / 1800 ,No,,,Vibration; MP3 ringtones,"2009, September. Released 2009, September",,,Removable Li-Ion 800 mAh battery,,No,,No,No,,,,No,,Black,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),,Class 10,,,Class 10,,No,,,,1 MB,,,,SMS,,,,Samsung E1080T,,,About 30 EUR,,,,,,,No,"128 x 128 pixels, 1:1 ratio (~127 ppi density)",,0.74 W/kg (head)     ,Mini-SIM,,,,,,"1.43 inches, 6.6 cm2 (~13.5% screen-to-body ratio)",,Up to 420 h,Discontinued,Up to 12 h,GSM,"CSTN, 65K colors",No,,No,64.5 g (2.26 oz),
93,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,HSDPA 850 / 900 / 1900 / 2100 ,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500)","Vibration; MP3, WAV ringtones","2017, August",,"
Noise -34.8dB / Crosstalk -93.4dB",Non-removable Li-Ion 3000 mAh battery,"

Endurance rating 81h

","4.2, A2DP, LE, EDR, aptX",,HTML5,HTML5,"Front glass, aluminum body",Octa-core 2.0 GHz Cortex-A53,"
Photo / Video","microSD, up to 256 GB",Qualcomm MSM8953 Snapdragon 625,"Lunar Gray, Fine Gold",153.5 x 76.2 x 8 mm (6.04 x 3.00 x 0.31 in),"
Contrast ratio: 1354:1 (nominal), 2.736 (sunlight)",Yes,,"Geo-tagging, touch focus, face detection, panorama, auto-HDR",Yes,,"Yes, with A-GPS, GLONASS",,Adreno 506,,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",,,"
Voice 91dB / Noise 74dB / Ring 86dB

","SMS(threaded view), MMS, Email, Push Email, IM",Yes,,Yes (market dependent),Motorola Moto G5S Plus,"Android 7.1 (Nougat), planned upgrade to Android 8.0 (Oreo)","
Basemark OS II: 1380 / Basemark OS II 2.0: 389Basemark X: 10466",About 210 EUR,"Dual: 13 MP, f/2.0, autofocus, dual-LED dual-tone flash, check quality",,,,Corning Gorilla Glass 3,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,"8 MP, f/2.0, LED flash",,,"Fingerprint (front-mounted), accelerometer, gyro, proximity","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps",,"Available. Released 2017, August",,GSM / HSPA / LTE,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,"2160p@30fps, check quality","Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot",168 g (5.93 oz),
94,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 850 / 1900 ,,"Vibration, MP3, WAV ringtones","2011, March. Released 2011, June",,,Removable Li-Ion 1230 mAh battery,,"2.1, A2DP",,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,1.0 GHz Scorpion,,No,Qualcomm QSD8250 Snapdragon S1,Black,122 x 68 x 11.2 mm (4.80 x 2.68 x 0.44 in),,Yes,,Geo-tagging,Yes,,"Yes, with A-GPS; Bing Maps",,Adreno 200,,"16 GB, 576 MB RAM, 512 MB ROM",,,,"SMS(threaded view), MMS, Email, Push Email",,,,HTC HD7S,Microsoft Windows Phone 7,,About 120 EUR,"5 MP, autofocus, dual-LED flash",,,,,,"Stereo FM radio, RDS","480 x 800 pixels, 5:3 ratio (~217 ppi density)",0.96 W/kg (head)     ,,Mini-SIM,,No,,,"Accelerometer, proximity, compass","4.3 inches, 52.6 cm2 (~63.4% screen-to-body ratio)",HSPA 7.2/2 Mbps,Up to 276 h,Discontinued,Up to 4 h 30 min,GSM / HSPA,"S-LCD capacitive touchscreen, 16M colors",microUSB 2.0,720p,Wi-Fi 802.11 b/g/n,162 g (5.71 oz),
95,GSM 900 / 1800 ,No,,,Vibration; Downloadable monophonic ringtones,2001,,,Removable Li-Ion 830 mAh battery (BLB-2),,No,,WAP,WAP,,,,No,,9 Xpress-on covers,"97 x 43 x 19 mm, 66 cc (3.82 x 1.69 x 0.75 in)",,No,,,Class 4,,No,,,,,,,,SMS,,,,Nokia 8310,,,,,,,,,,FM radio,5 lines,,0.82 W/kg (head)     ,Mini-SIM,,,,,,,,100 - 400 h,Discontinued,2 - 4 h,GSM,Monochrome graphic,,,No,84 g (2.96 oz),
96,CDMA 800 / 1900 ,No,CDMA2000 1xEV-DO ,,"Vibration, MP3 ringtones","2011, August. Released 2011, August",,,Removable Li-Ion 1300 mAh battery,,"2.1, A2DP",,HTML,HTML,,,,"microSD, up to 32 GB (dedicated slot)",,Black,99 x 51 x 22 mm (3.90 x 2.01 x 0.87 in),,No,,Geo-tagging,No,,"Yes, with A-GPS",,,,"128 MB RAM, 256 MB ROM",,,,"SMS(threaded view), MMS, Email, IM",,,,Samsung Convoy 2,,,About 100 EUR,"3.15 MP, LED flash",,,,,,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",0.68 W/kg (head)     0.72 W/kg (body)     ,,Mini-SIM,,No,,,,"2.2 inches, 15.0 cm2 (~29.7% screen-to-body ratio)",EV-DO Rev.A 3.1 Mbps,Up to 450 h,Discontinued,Up to 6 h 30 min,CDMA / EVDO,"TFT, 256K colors",microUSB 2.0,Yes,No,111 g (4.09 oz),
97,GSM 850 / 900 / 1800 / 1900 ,Yes,,,"Vibration, MP3 ringtones","2011, July. Released 2011, Q3",,,Removable Li-Ion 800 mAh battery,,"2.1, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,"microSD, up to 8 GB (dedicated slot)",,"Black, White",103 x 57.6 x 12.5 mm (4.06 x 2.27 x 0.49 in),,Yes,,,Class 10,,No,,,,"1 GB ROM, 256 MB RAM",,,,"SMS, MMS, Push Email",,,,BLU Deco XT,,,About 70 EUR,2 MP,,,,,,FM radio,"320 x 240 pixels, 4:3 ratio (~173 ppi density)",,,Mini-SIM,,No,,,,"2.31 inches, 16.5 cm2 (~27.9% screen-to-body ratio)",,Up to 200 h,Discontinued,Up to 3 h,GSM,"TFT, 256K colors",microUSB,Yes,Wi-Fi 802.11 b/g/n,75 g (2.65 oz),
98,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 1700 / 2100 ,,"Vibration; MP3, WAV ringtones","2010, June. Released 2010, July",,"
Noise -86.0dB / Crosstalk -86.3dB",Removable Li-Po 1390 mAh battery,,"2.1, A2DP",,HTML,HTML,,600 MHz Cortex-A8,"
Photo","microSD, up to 32 GB (dedicated slot), 8 GB included",,Black Slate,116 x 60.9 x 10.9 mm (4.57 x 2.40 x 0.43 in),,Class 12,,"Geo-tagging, face detection",Class 12,,"Yes, with A-GPS",,PowerVR SGX530,,"512 MB, 256 MB RAM",,,"
Voice 66dB / Noise 65dB / Ring 77dB

","SMS(threaded view), MMS, Email, IM, Push Email",Yes,,,Motorola MILESTONE XT720,Android 2.1 (Eclair),,About 190 EUR,"8 MP, autofocus, Xenon flash, check quality",,,,Corning Gorilla Glass,,"Stereo FM radio, RDS","480 x 854 pixels, 16:9 ratio (~265 ppi density)",1.01 W/kg (head)     1.21 W/kg (body)     ,0.60 W/kg (head)     ,Mini-SIM,,No,,,"Accelerometer, proximity, compass","3.7 inches, 37.7 cm2 (~53.4% screen-to-body ratio)",HSPA 10.2/5.76 Mbps,Up to 320 h (2G) / Up to 320 h (3G),Discontinued,Up to 4 h 30 min (2G) / Up to 9 h (3G),GSM / HSPA,"TFT capacitive touchscreen, 16M colors",microUSB 2.0,720p@24fps,"Wi-Fi 802.11 b/g, DLNA",139 g (4.90 oz),
99,GSM 900 / 1800 - SIM 1 & SIM 2,Yes, HSDPA,,"Vibration; MP3, WAV ringtones","2015, April",,,Li-Ion 2000 mAh battery,,2,,HTML,HTML,,1.0 GHz,,"microSD, up to 32 GB",Spreadtrum 7715,"Blue, White",145 x 73 x 9.8 mm (5.71 x 2.87 x 0.39 in),,Yes,,Yes,Yes,,Yes,,Mali-400,,"4 GB, 512 MB RAM",,,,"SMS(threaded view), MMS, Email",Yes,,,Celkon A518,Android 4.4.2 (KitKat),,,"3.15 MP, LED flash",,,,,,FM radio,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,0.25 W/kg (head)     0.55 W/kg (body)     ,Dual SIM,,1.3 MP,,,Accelerometer,"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)",HSPA,,"Available. Released 2015, April",,GSM / HSPA,Capacitive touchscreen,microUSB,Yes,Wi-Fi 802.11 b/g/n,164 g (5.78 oz),
100,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 900 / 2100 ,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - P330X","Vibration; MP3, WAV ringtones","2014, January",,,Non-removable Li-Ion 3240 mAh battery,,"4.0, A2DP",,HTML,HTML,,Quad-core 1.2 GHz Cortex-A7,,"microSD, up to 32 GB (dedicated slot)",Qualcomm MSM8926 Snapdragon 400,"White, Black/ color back panels",192 x 113 x 9 mm (7.56 x 4.45 x 0.35 in),,Yes,,,Yes,,Yes,,Adreno 305,,"4 GB, 1 GB RAM",,,,"Email, Push Email, IM",Yes,,,alcatel POP 7S ,Android 4.4.2 (KitKat),,About 190 EUR,3 MP,,,,,,No,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,Micro-SIM,,VGA,,,,"7.0 inches, 137.9 cm2 (~63.6% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE",,"Available. Released 2014, Q2",,GSM / HSPA / LTE,IPS LCD capacitive touchscreen,microUSB 2.0,Yes,Wi-Fi 802.11 b/g/n,279 g (9.84 oz),
101,GSM 850 / 900 / 1800 / 1900 ,Yes,,,Vibration; MP3 ringtones,"2010, February. Released 2010, May",,,Removable Li-Ion 960 mAh battery,,"2.1, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,"microSD, up to 16 GB (dedicated slot)",,"Titan Gray, Romantic Pink",102.3 x 52.4 x 16.2 mm (4.03 x 2.06 x 0.64 in),,Class 12,,,Class 10,,No,,,,45 MB,,,,"SMS(threaded view), MMS, Email, RSS",,,,Samsung B3410W Ch@t,,,About 120 EUR,2 MP,,,,Scratch-resistant glass,,"Stereo FM radio, RDS, recording","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,0.43 W/kg (head)     ,Mini-SIM,,No,,,,"2.6 inches, 20.9 cm2 (~39.1% screen-to-body ratio)",,Up to 800 h,Discontinued,Up to 7 h 30 min,GSM,"TFT touchscreen, 256K colors",2,320p,Wi-Fi 802.11 b/g,113.7 g (3.99 oz),
102,GSM 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2004, Q2",,,Removable Li-Ion 760 mAh battery (BL-4C),,1.1,,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,123 MHz ARM925T,,"RS-MMC, 32 MB included",TI OMAP 1510,"2 - Silver, Black","102 x 49 x 23 mm, 109 cc (4.02 x 1.93 x 0.91 in)",,No,,,Class 6,,No,,,,6 MB,,,,"SMS, MMS, Email, Instant Messaging",,,,Nokia 6260,"Symbian 7.0s, Series 60 v2.0 UI",,,VGA,,,,,,FM radio,176 x 208 pixels (~130 ppi density),0.77 W/kg (head)     0.57 W/kg (body)     ,0.72 W/kg (head)     ,Mini-SIM,,No,,,,"2.1 inches, 35 x 41 mm, 14.0 cm2 (~28.1% screen-to-body ratio)",,Up to 144 h,Discontinued,Up to 4 h,GSM,"TFT, 65K colors",Proprietary,Yes,No,125 g (4.41 oz),
103,CDMA 800 / 1900 ,Yes,CDMA2000 1xEV-DO ,LTE band 25(1900),"Vibration; MP3, WAV ringtones","2013, June. Released 2013, June",,,Removable Li-Po 1800 mAh battery,,"4.0, A2DP",,HTML5,HTML5,,Dual-core 1.4 GHz Krait 200,,"microSD, up to 64 GB (dedicated slot)",Qualcomm MSM8930 Snapdragon 400,Violet,132.1 x 66 x 9.9 mm (5.20 x 2.60 x 0.39 in),,No,,Geo-tagging,No,,"Yes, with A-GPS, GLONASS",,Adreno 305,,"8 GB, 1 GB RAM",,,,"SMS(threaded view), MMS, Email, IM, Push Email",Yes,,Yes (market dependent),HTC 8XT,Microsoft Windows Phone 8,,About 170 EUR,"8 MP (1.4 Âµm), autofocus, LED flash",,,,Corning Gorilla Glass,,No,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,,Micro-SIM,,1.6 MP,,,"Accelerometer, proximity, compass","4.3 inches, 52.6 cm2 (~60.4% screen-to-body ratio)","EV-DO Rev.A 3.1 Mbps, LTE",,Discontinued,Up to 14 h,CDMA / EVDO / LTE,"Capacitive touchscreen, 16M colors",microUSB 2.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",120 g (4.23 oz),
104,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,"HSDPA 850 / 900 / 1900 / 2100 - Desire 728, Desire 728G","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - Desire 728","Vibration; MP3, WAV ringtones","2015, September",,,Non-removable Li-Po 2800 mAh battery,,"4.1, A2DP",,HTML5,HTML5,,Octa-core 1.3 GHz Cortex-A53,,"microSD, up to 256 GB (dedicated slot)",Mediatek MT6753,"White, Black",157.9 x 77.8 x 7.9 mm (6.22 x 3.06 x 0.31 in),,Yes,,"Geo-tagging, touch focus, face detection, HDR, panorama",Yes,,"Yes, with A-GPS, GLONASS",,Mali-T720MP3,,"16 GB, 2 GB RAM - Desire 72816 GB, 1.5 GB RAM - Desire 728G",,,,"SMS(threaded view), MMS, Email, Push Email",Yes,Up to 46 h,,HTC Desire 728 dual sim,Android 5.1.1 (Lollipop),,About 240 EUR,"13 MP (f/2.2, 28mm), autofocus, LED flash",,,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,0.81 W/kg (head)     ,"Dual SIM (Nano-SIM, dual stand-by)",,"5 MP (f/2.8, 34mm), 1080p@30fps",,,"Accelerometer, proximity, compass","5.5 inches, 83.4 cm2 (~67.9% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Up to 496 h (2G) / Up to 485 h (3G),"Available. Released 2015, November",Up to 26 h (2G) / Up to 21 h (3G),GSM / CDMA / HSPA / EVDO / LTE,"Super LCD2 capacitive touchscreen, 16M colors",microUSB 2.0,1080p@30fps,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",153 g (5.40 oz),
105,GSM 850 / 900 / 1800 / 1900 ,No,,,"Vibration; Polyphonic(40), MP3 ringtones","2011, October. Released 2011, October",,,Removable Li-Ion 1300 mAh battery,,"3.0, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,"microSD, up to 32 GB (dedicated slot)",,Steel Grey,122 x 53 x 17.9 mm (4.80 x 2.09 x 0.70 in),,Yes,,,Yes,,No,,,,38 MB,,,,"SMS, MMS, Email, IM",,,,Samsung C3350,,,About 90 EUR,2 MP,,,,,,"Stereo FM radio, RDS","240 x 320 pixels, 4:3 ratio (~182 ppi density)",0.99 W/kg (head)     1.03 W/kg (body)     ,0.78 W/kg (head)     ,Mini-SIM,,No,,,,"2.2 inches, 15.0 cm2 (~23.2% screen-to-body ratio)",,Up to 1000 h,Discontinued,Up to 19 h,GSM,"TFT, 256K colors",Proprietary,176x144,No,110 g (3.88 oz),
106,GSM 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2007, July. Released 2007, October",,,Removable Li-Ion 800 mAh battery,,"2.0, A2DP",,i-mode,i-mode,,,,microSD (dedicated slot),,Silver,100 x 50 x 14.8 mm (3.94 x 1.97 x 0.58 in),,Yes,,,Yes,,No,,,,80 MB,,,,"SMS, EMS, MMS, Email",,,,Samsung S730i,,,,"2 MP, LED flash",,,,,,No,176 x 220 pixels (~141 ppi density),,0.47 W/kg (head)     ,Mini-SIM,,No,,,,"2.0 inches, 12.6 cm2 (~25.2% screen-to-body ratio)",,Up to 200 h,Discontinued,Up to 6 h,GSM,"TFT, 256K colors",2,320p,No,83 g (2.93 oz),
107,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 2100 ,,"Vibration; Downloadable polyphonic, MP3 ringtones","2008, September. Released 2008, December",,"
Noise -80.1B / Crosstalk -73.9dB",Removable Li-Ion 960 mAh battery,,"2.0, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,"microSD, up to 16 GB (dedicated slot)",,"Black, White",114.9 x 47.4 x 12 mm (4.52 x 1.87 x 0.47 in),,Class 12,,Smile detection,Class 12,,No,,,,120 MB,,,"
Voice 73dB / Noise 0dB / Ring 0dB

","SMS, MMS, Email",,,,Samsung M7500 Emporio Armani,,,About 130 EUR,"3.15 MP, autofocus",,,,,,"Stereo FM radio, RDS","240 x 320 pixels, 4:3 ratio (~182 ppi density)",0.53 W/kg (head)     0.81 W/kg (body)     ,0.78 W/kg (head)     ,Mini-SIM,,Videocall camera,,,,"2.2 inches, 15.0 cm2 (~27.5% screen-to-body ratio)",HSPA 3.6/0.384 Mbps,Up to 290 h (2G) / 290 h (3G),Discontinued,Up to 4 h 20 min (2G) / 4 h 20 min (3G),GSM / HSPA,"AMOLED, 256K colors",2,Yes,No,90.2 g (3.21 oz),
108,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,HSDPA 850 / 900 / 1900 / 2100 ,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","Vibration; MP3, WAV ringtones","2016, May",,,Removable Li-Po 2800 mAh battery,,"4.1, A2DP, LE, aptX",,HTML5,HTML5,,Quad-core 1.2 GHz Cortex-A53,,"microSD, up to 256 GB (dedicated slot)",Qualcomm MSM8916 Snapdragon 410,"Black, White",144.4 x 72 x 9.9 mm (5.69 x 2.83 x 0.39 in),,Yes,,"Geo-tagging, touch focus, face detection, panorama, HDR",Yes,,"Yes, with A-GPS, GLONASS, BDS",,Adreno 306,,"8/16 GB, 1/2 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,Yes (optional),Motorola Moto G4 Play,"Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",,About 130 EUR,"8 MP, f/2.2, autofocus, LED flash",,,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"5 MP, f/2.2",,,"Accelerometer, proximity","5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Available. Released 2016, August",,GSM / HSPA / LTE,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",137 g (4.83 oz),
