,2G bands,3.5mm jack,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery,Battery life,Bluetooth,Bluetooth Support,Browser,Browser,Build,CPU,Camera,Card slot,Chipset,Colors,Dimensions,Display,EDGE,Expandable Storage,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Messaging,Multitouch,Music play,NFC,Name,OS,Performance,Price,Primary,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Protection,RAM,Radio,Resolution,SAR,SAR EU,SIM,SMS,Secondary,Secondary Camera Available,Secondary Camera Features,Sensors,Size,Speed,Stand-by,Status,Talk time,Technology,Type,USB,Video,WLAN,Weight,Wi-Fi Version
10,CDMA 800 ,Yes,CDMA2000 1xEV-DO ,,"Vibration; MP3, WAV ringtones","2011, June. Released 2011, June",,,Removable Li-Ion 1000 mAh battery,,Yes,,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,,,"microSD, up to 32 GB (dedicated slot)",,"Sapphire, Amethyst",107 x 56 x 15 mm (4.21 x 2.20 x 0.59 in),,No,,,No,,No,,,,,,,,"SMS(threaded view), MMS, Email",,,,Samsung Trender,,,About 70 EUR,1.3 MP,,,,,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",1.02 W/kg (head)     1.06 W/kg (body)     ,,Mini-SIM,,No,,,Accelerometer,"2.8 inches, 24.3 cm2 (~40.5% screen-to-body ratio)","EV-DO Rev.0, 153.2 Kbps",,Discontinued,Up to 5 h,CDMA / EVDO,"TFT resistive touchscreen, 65K colors",microUSB 2.0,,No,113 g (3.99 oz),
11,GSM 900 / 1800 ,No,,,Polyphonic(64) ringtones,"2010, February. Released 2010, Q2",,,Removable Li-Ion 650 mAh battery,,No,,WAP 2.0,WAP 2.0,,,,No,,"Grey, Deep Red, Orange, Apple Green",106 x 46 x 14.5 mm (4.17 x 1.81 x 0.57 in),,No,,,Class 10,,No,,,,,,,,SMS,,,,alcatel OT-216,,,,VGA,,,,,,"FM radio, RDS","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,Mini-SIM,,No,,,,"1.5 inches, 7.3 cm2 (~14.9% screen-to-body ratio)",,Up to 400 h,Discontinued,Up to 7 h,GSM,"CSTN, 65K colors",miniUSB (charging only),No,No,60 g (2.12 oz),
12,GSM 850 / 1900 ,No,,,"Vibration; Polyphonic(64), MP3",2007. Released 2007,,,Removable Li-Ion 750 mAh battery,,No,,WAP 2.0 / xHTML,WAP 2.0 / xHTML,,,,"microSD, up to 2 GB (dedicated slot)",,"Flash Red, Night Black",89 x 45.7 x 22 mm (3.50 x 1.80 x 0.87 in),,No,,,Class 10,,No,,,,2 MB,,,,"SMS, MMS",,Up to 10 h,,alcatel OT-C700A,,,,VGA,,,,,,No,128 x 160 pixels (~114 ppi density),0.75 W/kg (head)     1.21 W/kg (body)     ,,Mini-SIM,,No,,,,"1.8 inches, 10.2 cm2 (~25.1% screen-to-body ratio)",,Up to 300 h,Discontinued,Up to 7 h,GSM,"TFT, 65K colors",2,Yes,No,83 g (2.93 oz),
13,CDMA 800 / 1900 ,Yes,CDMA2000 1xEV-DO ,,"Vibration; MP3, WAV ringtones","2012, May. Released 2012, September",,,Removable Li-Ion 1500 mAh battery,,Yes,,"HTML, Adobe Flash","HTML, Adobe Flash",,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)",,Black,114.3 x 59.7 x 11.4 mm (4.5 x 2.35 x 0.45 in),,No,,Geo-tagging,No,,Yes,,,,1 GB,,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,Samsung Galaxy Proclaim S720C,Android 2.3 (Gingerbread),,About 80 EUR,3.15 MP,,,,,,No,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",0.62 W/kg (head)     1.17 W/kg (body)     ,,Mini-SIM,,No,,,Accelerometer,"3.5 inches, 36.5 cm2 (~53.5% screen-to-body ratio)",EV-DO Rev.A 3.1 Mbps,Up to 384 h,Discontinued,Up to 5 h 30 min,CDMA / EVDO,"TFT touchscreen, 16M colors",microUSB 2.0,Yes,"Wi-Fi 802.11 b/g, hotspot",114.9 g (4.02 oz),
14,GSM 900 ,No,,,Monophonic ringtones,1998,,,Extended 1200 mAh NiMH,,No,,,,,,,No,,Many,"133 x 54 x 25 mm, 160 cc (5.24 x 2.13 x 0.98 in)",,No,,,No,,No,,,,,,,,SMS,,,,alcatel OT Easy HF,,,,,,,,,,No,2 x 12 chars,,,Mini-SIM,,,,,,,,140 h,Discontinued,6 h,GSM,Alphanumeric,,,No,160 g (5.64 oz),
15,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 900 / 2100 ,,"Vibration; MP3, WAV ringtones","2011, November. Released 2012, March",,,Removable Li-Ion 1390 mAh battery,,"3.0, A2DP, EDR",,"HTML5, Adobe Flash","HTML5, Adobe Flash",,800 MHz Cortex-A5,,"microSD, up to 32 GB (dedicated slot)",Qualcomm MSM7227A-0 Snapdragon S1,"Licorice, Ultra white",117.7 x 60.5 x 9.9 mm (4.63 x 2.38 x 0.39 in),,Class 12,,Geo-tagging,Class 12,,"Yes, with A-GPS",,Adreno 200,,"1 GB, 512 MB RAM",,,,"SMS(threaded view), MMS, Email, IM, Push Email",Yes,,,Motorola MOTO XT615,Android 2.3.7 (Gingerbread),,About 120 EUR,"8 MP, autofocus, LED flash",,,,,,"Stereo FM radio, RDS","480 x 854 pixels, 16:9 ratio (~245 ppi density)",,,Mini-SIM,,VGA,,,"Accelerometer, proximity, compass","4.0 inches, 44.1 cm2 (~61.9% screen-to-body ratio)",HSPA 7.2/5.76 Mbps,Up to 110 h,Discontinued,Up to 5 h,GSM / HSPA,TFT capacitive touchscreen,microUSB 2.0,480p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",123.6 g (4.34 oz),
16,GSM 900 / 1800 / 1900 ,Yes,,,"Vibration; Downloadable polyphonic, MP3, AAC, 3D, video ringtones","2008, April. Released 2008, July",,"
Noise -91.7dB / Crosstalk -73.1dB",Removable Li-Ion 1020 mAh battery (BL-5CT),,"2.0, A2DP",,"WAP 2.0/xHTML, HTML, Opera Mini","WAP 2.0/xHTML, HTML, Opera Mini",,,,"microSD, up to 8 GB (dedicated slot)",,"Blue, Red, Green","108 x 43.5 x 10.5 mm, 53 cc (4.25 x 1.71 x 0.41 in)",,Class 32,,,Class 32,,No,,,,30 MB,,,"
Voice 73dB / Noise 68dB / Ring 75dB

","SMS, MMS 1.3 (up to 600KB), Email, Push Email, IM",,,,Nokia 5220 XpressMusic,,,About 110 EUR,2 MP,,,,,,"Stereo FM radio, RDS","240 x 320 pixels, 4:3 ratio (~200 ppi density)",0.92 W/kg (head)     0.85 W/kg (body)     ,1.01 W/kg (head)     ,Mini-SIM,,No,,,,"2.0 inches, 12.4 cm2 (~26.4% screen-to-body ratio)",,Up to 406 h,Discontinued,Up to 5 h 15 min,GSM,"TFT, 256K colors",microUSB,QCIF,No,78 g (2.75 oz),
17,GSM 850 / 900 / 1800 / 1900 ,Yes,HSDPA 900 / 2100 ,,"Vibration; MP3, WAV ringtones","2014, January",,,Non-removable Li-Ion 3600 mAh battery,,"4.0, LE",,HTML5,HTML5,,Dual-core 1.2 GHz,,"microSD, up to 32 GB (dedicated slot)",Marvell PXA986,"White, Black, Green, Pink, Yellow",193.4 x 116.4 x 9.7 mm (7.61 x 4.58 x 0.38 in),,Yes,,Geo-tagging,Yes,,"Yes, with A-GPS, GLONASS",,Vivante GC1000,,"8 GB, 1 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,Up to 200 h,,Samsung Galaxy Tab 3 Lite 7.0 3G ,Android 4.2 (Jelly Bean),,About 190 EUR,2 MP,,,,,,No,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",1.45 W/kg (head)     1.60 W/kg (body)     ,0.37 W/kg (head)     0.83 W/kg (body)     ,Micro-SIM,,No,,,Accelerometer,"7.0 inches, 137.9 cm2 (~61.3% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,,"Available. Released 2014, February",Up to 9 h (multimedia),GSM / HSPA,"TFT capacitive touchscreen, 16M colors",2,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",322 g (11.36 oz),
18,GSM 850 / 900 / 1800 / 1900 ,Yes,,,"Vibration, MP3 ringtones","2009, December. Released 2010, January",,,Removable Li-Ion 960 mAh battery,,"2.1, A2DP",,"WAP 2.0/xHTML, HTML","WAP 2.0/xHTML, HTML",,,,"microSD, up to 8 GB (dedicated slot)",,"Black, Pink",103.9 x 55.4 x 12.9 mm (4.09 x 2.18 x 0.51 in),,Class 10,,,Class 10,,No,,,,30 MB,,,,"SMS, MMS, Email",,Up to 25 h,,Samsung C3510 Genoa,,,About 80 EUR,1.3 MP,,,,,,"Stereo FM radio, RDS","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,0.71 W/kg (head)     ,Mini-SIM,,No,,,,"2.8 inches, 24.3 cm2 (~42.2% screen-to-body ratio)",,Up to 720 h,Discontinued,Up to 10 h,GSM,"TFT touchscreen, 256K colors",2,QCIF@15fps,No,92.2 g (3.25 oz),
19,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 1700 / 1900 / 2100 - S210Q,,"Vibration; MP3, WAV ringtones","2017, August",,,Removable Li-Po 1700 mAh battery,,"4.0, A2DP",,HTML5,HTML5,,Dual-core 1.3 GHz Cortex-A7,,"microSD, up to 64 GB",Mediatek MT6570,"Black, Blue & White",133.6 x 67.8 x 10 mm (5.26 x 2.67 x 0.39 in),,Yes,,"Geo-tagging, touch focus, face detection",Yes,,"Yes, with A-GPS",,Mali-400,,"8 GB, 512 MB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,BLU Studio G Mini,Android 6.0 (Marshmallow),,,"5 MP, LED flash",,,,,,No,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,Dual SIM (Micro-SIM),,"2 MP, LED flash",,,Accelerometer,"4.5 inches, 55.8 cm2 (~61.6% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,Up to 725 h (2G) / Up to 625 h (3G),"Available. Released 2017, August",Up to 30 h (2G) / Up to 18 h (3G),GSM / HSPA,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,720p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",121 g (4.27 oz),
