,3.5mm jack,Battery ,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
2760,,,,,,,,Devinez GT08 Smart Watch With Sim and Camera Smartwatch,Android,"‚¹1,006",0.3 MP,,,,,,
2761,,,,,,,,Estar Xiaomi Redmi Note 3 Compatible Smartwatch,,"‚¹1,709",,,,,,,
2762,,,,,,,,Aomax Smart Watch With Sim and Camera In Smart Look Smartwatch,Android Wear,"‚¹1,299",0.3 MP,,,,,,
2763,,,,,,,,Pin Up PCY-03 With SIM/Calling Function Multicolor Smartwatch,,"‚¹2,199",,,,,,80 g,
2764,,,,,,,,CREATION4U C4U-DZ-42 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2765,,,,,,,,Creation4U U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2766,,,,,,,,Techno Frost Smart Watch GT08 Multi Smartwatch,Android 4.3,"‚¹1,370",1.9 MP,,,,,,
2767,,,,,,,,"Piqancy Dz09 Black Smartwatch with SIM card, 32GB memory card slot, Bluetooth and Fitness Tracker Smartwatch ",,‚¹910,,,,,,,
2768,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2769,,,,,,,,Hopeberry DZ09 Black Smartwatch,,‚¹945,2 MP,,,,,,
2770,,,,,,,,Techno Frost DZ Silver Smartwatch,Android,"‚¹1,152",0.3 MP,,,,,,
2771,,,,,,,,Wokit A1-93 Silver Smartwatch,"Android, iOS, Windows","‚¹1,229",2 MP,,,,,,
2772,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2773,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2774,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2775,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas Magnus A117 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2776,,,,,,,,ELEGANZ DZ09-72 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2777,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2778,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2779,,,,,,,,HealthMax DZ09-37 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2780,,,,,,,,"888 Silver Bluetooth Smart Notification Smartwatch Memory Slot,sim Slot Smartwatch",Android,"‚¹1,048",0.3 MP,,,,,,
2781,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2782,,,,,,,,Fitbit Ionic Burnt Orange Smartwatch,Fitbit OS,"‚¹22,990",,,,,,303.3 g,
2783,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Infocus M2 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2784,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2785,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2786,,,,,,,,Techno Frost DZ Silver Smartwatch,Android,"‚¹1,152",0.3 MP,,,,,,
2787,,,,,,,,Techno Frost DZ Silver Smartwatch,Android,"‚¹1,158",0.3 MP,,,,,,
2788,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Xolo X500 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2789,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2790,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax A90s Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2791,,,,,,,,Wokit DZ09-28 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2792,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with MEIZU MX5 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2793,,,,,,,,CREATION4U C4U-DZ-114 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2794,,,,,,,,Fitbit Blaze Black Silver Smartwatch,Fitbit OS,"‚¹19,999",,,,,,,
2795,,,,,,,,JIYANSHI Micromax AO5010 compatible smart watch Silver Smartwatch,Android,"‚¹1,799",2 MP,,,,,200 g,
2796,,,,,,,,Life Like V8 BLUETOOTH WITH SIM CARD & SD CARD SUPPORT WHITE Smartwatch,ANDROID,"‚¹1,499",1.3 MP,,,,,,
2797,,,,,,,,Medulla U8 for Android phone Bluetooth Red Smartwatch,Android,‚¹749,,,,,,45 g,
2798,,,,,,,,Bingo T30 Gold Bluetooth Notification Smartwatch,Android Wear,‚¹999,,,,,,,
2799,,,,,,,,"Stark Oppo , Vivo & Mi 4G Calling Smart Mobile watch Compatible With Android & Ios Smartwatch",,‚¹996,,,,,,,
2800,,,,,,,,"CELESTECH with Fitness Tracker, Camera, Sim Card and 32 GB Memory Card Slot smartwatch Black n Red Smartwatch",,"‚¹1,999",1 MP,,,,,60 g,
2801,,,,,,,,Platina For Samsung Smartwatch,,‚¹999,2 MP,,,,,,
2802,,,,,,,,CREATION4U C4U-DZ-40 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
