,Unnamed: 0,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser.1,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
447,447,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,,,"‚¹13,900",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Sports, Sound & Shot",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Light Sensor, Proximity Sensor",,,"4G LTE, GSM",,,,,,802.11 b/g/n
448,448,,,,,,,,,,3180 mAh,,Yes,4.2,,,,,,,5.7 inch,TFT,,256 GB,No,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,OPPO A83 ,Android Nougat 7.1,83.9% (Display Area AA Peripheral Edge Size / Front Glass Area),,"‚¹12,350",13MP,Yes,"F2.2, AF, Facial Unlock, Bokeh Effect, Sensor Size / Pixel Size: 1 / 3.06 inch, 1.12micrometer, Wide-angle - 81Degree, Focal Length: 3.462mm, Macro Lens: Rear Macro 8cm, 5P Lens, Ordinary Camera, Video, Professional Mode, Time-lapse Photography, Panorama",2.5 GHz,Octa Core,MT6763T,,3 GB,1440 x 720 Pixels,,,,,8MP,Yes,"F2.2, Wide-angle - Front 85Degree, Sensor Size / Pixel Size - 1/4 inch, 4P Lens, Blur, Beauty, Filters, Panorama, HDR, Photo Management, AI Beauty","Geomagnetic Induction, Light Sensor, Distance Sensor, Gravity Sensor",,,"4G VoLTE, WCDMA, GSM",,,,,143 g,802.11 a/b/g/n (2.4G / 5G Dual-band)
449,449,,,,,,,,No,,600 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Gfive A98,,,,"‚¹1,039",0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,Normal SIM,,0.3MP,Yes,,,,,"GSM, GSM",,,,,,
450,450,,,,,,,,3.5 mm Stereo,,3000 mAh,,Yes,4.1,,,,,,16 M,5.5 inch,Super AMOLED,,256 GB,,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy J7 Nxt ,Android Nougat 7,,,"‚¹9,990",13MP,Yes,"f1.9, Auto Focus",1.6 GHz,Octa Core,Exynos Octa-Core 1.6GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM (3FF),,5MP,Yes,f2.2,"Accelerometer, Proximity Sensor",,,4G LTE,,,,,170 g,802.11 b/g/n (2.4 GHz)
451,451,,,,,,,,,,800 mAh,,Yes,,,,,,,,1.8 inch,TFT,,8 GB,Yes,,,,,,,,,32 MB,,,,,,,,Rocktel W13,,,,‚¹569,0.3MP,,,50 MHz,,0 0 0 50MHz,,10 MB,128*160,,,Full Size Sim,Yes,,,,,,,"GSM, GSM",,,,,,
452,452,,,,,,,,,,800 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Micromax X412,,,,‚¹747,0.3MP,,,1.2 MHz,,,,32 MB,128 x 160$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
453,453,,,,,,,,,,600 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,No,,,,,,,,,32 MB,,,Hybrid Slot,,,,,Winstar C1,,,,‚¹895,0.3MP,Yes,,1 MHz,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,No,,,"GSM, GSM",,,,,,
454,454,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,,,"‚¹13,900",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Sports, Sound & Shot",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Light Sensor, Proximity Sensor",,,"4G LTE, GSM",,,,,,802.11 b/g/n
455,455,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,,,"‚¹13,900",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Sports, Sound & Shot",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Light Sensor, Proximity Sensor",,,"4G LTE, GSM",,,,,,802.11 b/g/n
456,456,,,,,,,,,,950 mAh,,,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,16 MB,,,Dedicated Slot,,,,,Gfive N9,,,,‚¹639,0.3MP,Yes,,,,,,32 MB,240 x 260 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
457,457,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,,5.5 inch,AMOLED,,128 GB,Yes,,,,,Yes,,Yes,,64 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Smartron t-phone T5511 ,Android Marshmallow 6.0.1,"Gorilla Glass 3, Fingerprint - Resistant Oleophobic Coating, Multitouch",,"‚¹8,990",13MP,Yes,"Auto Focus, HDR",1.6 GHz,Octa Core,,,4 GB,1920 x 1080 Pixels,,,Micro SIM and Nano SIM,Yes,4MP,Yes,"Automatic black level calibration (ABLC),Back-illuminated sensor,HDR","Accelerometer, Ambient Light Sensor, Gyroscope, Proximity Sensor, Digital Compass, Hall Sensor",,,"4G LTE, GSM",,,,,149 g,802.11 a/b/g/n/ac
458,458,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,,,"‚¹13,900",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Sports, Sound & Shot",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Light Sensor, Proximity Sensor",,,"4G LTE, GSM",,,,,,802.11 b/g/n
459,459,,,,,,,,3.5 mm,,650 mAh,,Yes,,,,,,,,1.44 inch,TFT,,8 GB,Yes,,,,,,,Yes,,32 MB,,,Dedicated Slot,,,,,Viva V1,,,,‚¹444,0MP,No,,1.2 MHz,,,,32 MB,96 x 68$$Pixels,,,Full Size SIM,Yes,,No,,,,,GSM,,,,,,
460,460,,,,,,,,,,2500 mAh,,,,,,,,,,4 inch,,,,,,,,,,,,,4 GB,,,Dedicated Slot,,,,,Swipe Neo Power ,Android Marshmallow 6.0,,,"‚¹2,599",5MP,,,1.3 GHz,Quad Core,,,512 MB,800 x 480 Pixels,,,,,,,,,,,"GSM, 4G LTE",,,,,,
461,461,,,HSPA+,,,,,,,2620 mAh,,Yes,4.2,,,,,,,5.2 inch,TFT,,128 GB,Yes,,,,,Yes,,,,16 GB,"4G, 3G, GPRS, EDGE, Wi-Fi",,Dedicated Slot,,,,,Sony Xperia R1 Dual ,Android Nougat 7,2.5D Curved Glass,,"‚¹10,490",13MP,Yes,"Predictive Hybrid Autofocus, Exmor Sony Sensor, Continuous Shooting, 12 Capturing Modes, 8X Clear Zoom, ISO 3200 for Photos, Countdown Timer, Beauty Mode, Face Detection, Portrait, Landscape, Sports, Macro, Night Mode",2.4 GHz,Octa Core,Qualcomm Snapdragon 430 64-bit,,2 GB,1280 x 720 Pixels,,,Nano SIM,,8MP,Yes,"Predictive Hybrid Autofocus, Continuous Shooting, 12 Capturing Modes, 8X Clear Zoom, ISO 3200 for Photos, ISO 2400 for Videos, Countdown Timer, Beauty Mode, Face Detection",,,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,154 g,
462,462,,,,,,,,3.5 mm,,2800 mAh,,Yes,,,,,,,,5 inch,,,,,,,,,,,Yes,,8 GB,,,Dedicated Slot,,,,,GreenBerry Z8 ,Android Nougat 7,,,"‚¹4,399",8MP,Yes,flash,1.7 GHz,Quad Core,,,1 GB,1080 x 720$$Pixels,,,,Yes,5MP,Yes,,,,,"4G VoLTE, GSM",,,,,,
463,463,,,,,,,,,,1000 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mido M88,,,,‚¹645,0.3MP,,,,,,,32 MB,320 x 240 Pixels,,,Full Size SIM,,,,,,,,"GSM, GSM",,,,,,
464,464,,,,,,,,,,1050 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,35 MB,,,Dedicated Slot,,,,,Ssky K-2,,,,‚¹690,1.3MP,,,1.2 MHz,,,,256 MB,320 x 428$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
465,465,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,,,"‚¹13,900",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Sports, Sound & Shot",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Light Sensor, Proximity Sensor",,,"4G LTE, GSM",,,,,,802.11 b/g/n
466,466,,,,,,,,3.5 mm,,3000 mAh,,Yes,2,,,,,,65 K,2.4 inch,TFT,,8 GB,Yes,,,"Class 12, 48 kbps, 85.6 kbps",,,,,,32 KB,WAP,,,,,,Yes,JIVI N9003,,Big And Bright Display,,"‚¹1,066",1.3MP,Yes,Good Quality Camera,,,,,1 MB,240 x 320 Pixel,,,Normal,Yes,,,,,,,"GSM, GSM",,,,,120 g,
467,467,,,,,,,,,,1000,,,,,,,,,,1.8,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,I-Plus i1,,,,‚¹699,0.03MP,,,0.05 MHz,,,,20 MB,160 x 120$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
468,468,,,,,,,,3.5 mm Stereo,,3000 mAh,,Yes,4.1,,,,,,16 M,5.5 inch,Super AMOLED,,256 GB,,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy J7 Nxt ,Android Nougat 7,,,"‚¹11,900",13MP,Yes,"f1.9, Auto Focus",1.6 GHz,Octa Core,Exynos Octa Core 1.6 GHz,,3 GB,1280 x 720 Pixels,,,Micro SIM (3FF),,5MP,Yes,f2.2,"Accelerometer, Proximity Sensor",,,"4G LTE, WCDMA, UMTS",,,,,170 g,802.11 b/g/n (2.4 GHz)
469,469,,,,,,,,3.5mm,,4000 mAh,,Yes,,,,,,,,2.4 inch,,,16 GB,Yes,,,,,,,,,1 MB,2G,,Dedicated Slot,,,,,Kara K17,,,,"‚¹1,249",0.3MP,Yes,,1 MHz,,,,1 MB,320 x 240$$Pixels,,,Normal SIM,Yes,,Yes,,,,,"GSM, GSM",,,,,,
470,470,,,,,,,,3.5,,2630 mAh,,Yes,,,,,,,,5 inch,IPS LCD,,128,,,,,,,ARM Mali T720,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Nokia 3 ,Android Nougat 7,"Aspect Ratio: 16:9, 2.5D Sculpted with Polarized Corning Gorilla Glass, Brightness 450 nits Laminated",,"‚¹8,899",8MP,Yes,"Auto Focus, 1.12 micrometer, f/2",1.3 GHz,Quad Core,MTK 6737,,2 GB,1280 x 720,,,Micro SIM,Yes,8MP,Yes,"1.12 micrometer, f/2, FOV 84Degrees, Selfies, Autofocus","Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Gyroscope, Proximity Sensor",,,4G LTE,,,,,,
471,471,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,10 MB,2G,,Dedicated Slot,,,,,Blackzone N1102,,,,‚¹629,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,320 x 240$$Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
472,472,,,,,,,,,,1350 mAh,,,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,10 MB,2G,,Dedicated Slot,,,,,Kara Sports,,,,‚¹799,1.3MP,Yes,,1 MHz,,,,10 MB,320 x 240$$Pixels,,,,Yes,0.3MP,,0.3 MP,,,,"GSM, GSM",,,,,,
473,473,,,,,,,,3.5 mm,,950,,Yes,,,,,,,,1.8,,,16 GB,,,,,,,,Yes,,32 MB,,,Dedicated Slot,,,,,Gfive U330,No,,,‚¹699,1.3MP,Yes,,1.2 MHz,,,,32 MB,320 x 400$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
474,474,,,,,,,,3.5 mm,,950 mAh,,Yes,A2DP,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,250 MB,,,Dedicated Slot,,,,,Melbon Dude-22,,,,‚¹550,0.3MP,,,,,,,,128 x160 Pixels,,,Full Size SIM,Yes,,,,,,,"GSM, GSM",,,,,110 g,
475,475,,,,,,,,,,3180 mAh,,Yes,4.2,,,,,,,5.7 inch,TFT,,256 GB,No,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,OPPO A83 ,Android Nougat 7.1,83.9% (Display Area AA Peripheral Edge Size / Front Glass Area),,"‚¹12,490",13MP,Yes,"F2.2, AF, Facial Unlock, Bokeh Effect, Sensor Size / Pixel Size: 1 / 3.06 inch, 1.12micrometer, Wide-angle - 81Degree, Focal Length: 3.462mm, Macro Lens: Rear Macro 8cm, 5P Lens, Ordinary Camera, Video, Professional Mode, Time-lapse Photography, Panorama",2.5 GHz,Octa Core,MT6763T,,3 GB,1440 x 720 Pixels,,,,,8MP,Yes,"F2.2, Wide-angle - Front 85Degree, Sensor Size / Pixel Size - 1/4 inch, 4P Lens, Blur, Beauty, Filters, Panorama, HDR, Photo Management, AI Beauty","Geomagnetic Induction, Light Sensor, Distance Sensor, Gravity Sensor",,,"4G VoLTE, WCDMA, GSM",,,,,143 g,802.11 a/b/g/n (2.4G / 5G Dual-band)
476,476,,,,,,,,3.5 mm,,1450 mAh,,Yes,,,,,,,,1.8 inch,TFT LCD,,8 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mido 3300,,,,‚¹599,0.3MP,Yes,,,,,,32 MB,240 x 320 Pixels,,,Regular SIM,,,,,,,,"GSM, GSM",,,,,350 g,
477,477,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Ssky S700,,,,"‚¹1,040",2MP,,,1 MHz,,,,256 MB,320 x 428$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
478,478,,,,,,,,3.5 mm,,2500 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mtech Jumbo,,,,‚¹949,0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,Regular SIM,Yes,,,,,,,"GSM, GSM",,,,,,
479,479,,,,,,,,,,1400 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,,,,,,Karbonn K-Phone 1,,,,"‚¹1,105",1.3MP,,,,,,,32 MB,240 x 320 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
480,480,,,"42 Mbps HSDPA; 5.76 Mbps HSUPA, HSPA+",,,,,3.5 mm,,2650 mAh,,Yes,v4.2,,,,,,,5.2 inch,,,2 TB,Yes,,,,,Yes,Adreno 506,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Asus Zenfone 3 ,Android Marshmallow 6,"IPS Display, 75.6% Screen-to-body Ratio, Brightness: 600 nits, Bluelight Filter for Eye Care, Corning Gorilla Glass 2.5D Contoured, 178 degree Wide Viewing Angle, 10 Finger Capacitive Touch, Fingerprint and Smudge Resistant Oleophobic Coating, Support Glove Touch",,"‚¹12,840",16MP,Yes,"f/2.0 Aperture, 6P Largan Lens with Sony Sensor, 0.03 Second Laser Auto-focus, 32 Second Long Exposure, 4-axis, 4 Stops Optical Image Stabilization for Steady Photos, PixelMaster 3.0 with 20 Camera Modes, 3-axis Electronic Image Stabilization for Shake-free Videos, 4K Video Recording",2.0 GHz,Octa Core,Qualcomm Snapdragon 625 64-bit Octa Core 2.0GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM and Nano SIM,Yes,8MP,Yes,"f/2.0 Aperture, Back Light (HDR) Mode, Low Light Mode, Real Time Beautification Mode, GIF Animation Mode, Panorama Selfie Mode","Accelerator, E-Compass, Gyroscope, Proximity Sensor, Hall Sensor, Ambient Light Sensor, RGB Sensor, IR Sensor, Fingerprint Scanner",,,"4G LTE, 4G LTE",,,,,144 g,802.11 b/g/n/ac
481,481,,,,,,,,3.5 mm,,4000 mAh,,Yes,,,,,,,,5.5 inch,,,128 GB,Yes,,,,,Yes,,Yes,,32 GB,,,Dedicated Slot,,,,,Honor Holly 4 Plus ,Android Nougat 7,,,"‚¹11,999",12MP,Yes,,1.4 GHz,Octa Core,,,3 GB,1280 x 720$$Pixels,,,,Yes,8MP,Yes,,"Finger Print Sensor, Acceleromete Proximity Ambient Light Sensor, G-Sensor",,,"4G VoLTE, GSM",,,,,,
482,482,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Ssky S9007 Rainbow,,,,"‚¹1,060",1.3MP,,,1.2 MHz,,,,35 MB,129 x 119$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
483,483,,,,,,,,3.5 mm,,1200 mAh,,Yes,3,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,16 MB,,,Dedicated Slot,,,,,Nokia 3310 DS,0,Polarized Layer for Better Readability in Sunlight,,"‚¹3,240",2MP,Yes,,,,,,,240 x 320 pixels,,,,Yes,,,,,,,GSM,,,,,,
484,484,,,,,,,,3.5 mm,,850 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Peace P4 Combo of Two Mobiles,0,,,"‚¹1,019",0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
485,485,,,,,,,,3.5 mm,,1500 mAh,,Yes,,,,,,,,1.8 inch,QQVGA,,16 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Reach Champ+ Selfie,,,,‚¹850,0.3MP,Yes,,1 MHz,,,,32 MB,128 x 160$$Pixels,,,Regular SIM,Yes,0.3MP,Yes,,,,,"GSM, GSM",,,,,,
486,486,,,,,,,,3.5 mm,,2800 mAh,,Yes,4.1,,,,,,,5.5 inch,,,2 TB,,,,,,,,,,16 GB,"GPRS, EDGE, Wi-Fi, 3G",,,,,,,HTC Desire 728G Dual Sim ,Android Lollipop 5.0.2,,,"‚¹8,499",13MP,Yes,"Auto Focus, BSI Sensor, f2.2 Aperture, 28 mm Wide Lens",1.3 GHz,Octa Core,MT6753,,1.5 GB,1280 x 720 Pixels,,,Nano SIM,Yes,5MP,Yes,"BSI Sensor, Full HD Video Recording",,,,"GSM, UMTS",,,,,153 g,802.11 b/g/n
487,487,,,,,,,,,,2400 mAh,,,,,,,,,,5 inch,,,,,,,,,,,Yes,,16 GB,,,,,,,,Intex Elyt Dual ,Android Nougat 7,,,"‚¹5,891",8MP,,,1.3 GHz,Quad Core,,,2 GB,720 x 1280$$Pixels,,,,Yes,,,,"G-sensor, P sensor, L sensor",,,"4G LTE, GSM",,,,,,
488,488,,,,,,,,3.5 mm,,1200 mAh,,Yes,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,1+1=2 D7,0,,,‚¹569,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
489,489,,,,,,,,3.5 mm,,1000 mAh,,,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,Yes,,32 MB,,,,,,,,Sansui Z11,,,,‚¹809,0.3MP,,,,,,,32 MB,128 x 160 pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
490,490,,,,,,,,,,3000 mAh,,Yes,,,,,,,,2.2 inch,,,32 GB,Yes,,,,,,,,,256 MB,,,,,,,,Gfive W1,0,,,"‚¹1,199",0.3MP,Yes,,,,,,,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM, GSM, GSM",,,,,121 g,
491,491,,,HSPA+ (DL / UL): 42 / 5.76 Mbps,,,,,3.5 mm,,4100 mAh,,Yes,4,,,,,,,5.2 inch,IPS Panel,,32 GB,Yes,,,,,Yes,Mali T720,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Asus Zenfone 3_Max ,Android Marshmallow 6,"GFM Touch Panel (Directly Bonding): Capacitive Touch Panel with 5 Points Multi-touch, LED Backlight, Brightness: 400 nits, 179Degree View Angle",,"‚¹8,499",13MP,Yes,"5P Lens, F2.2, FOV 74.9Degree",1.25 GHz,Quad Core,MediaTek 64-bit Quad Core 1.25GHz,,3 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"3P Lens, F2.4, FOV 74.5Degree","Accelerometer, E-compass, Proximity, Ambient Light Sensor",,,"4G LTE, 4G LTE",,,,,148 g,802.11 b/g/n
492,492,,,,,,,,,,800 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,,,,,,,,,Iball Prince 2,,,,‚¹749,0.3MP,,,,,,,,128 x 160 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
493,493,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,GLX W5 Combo of Two Mobiles,0,,,"‚¹1,119",0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
494,494,,,,,,,,Yes,,2000 mAh,,,,,,,,,,2.4 inch,"Tft, Qvga",,8 GB,,,,,,,,,,32 MB,,,,,,,,Celkon C9 Jumbo,,,,"‚¹1,379",1.3MP,Yes,,,,ARM 9,,,240 x 320 Pixels,,,Full Size SIM,,,,,,,,"GSM, GSM",,,,,,
495,495,,,,,,,,3.5 mm,,800 mAh,,Yes,A2DP,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,,,,Dedicated Slot,,,,,Melbon MB 607,,,,‚¹550,0.3MP,,,,,,,,128 x160 Pixels,,,Full Size Sim,Yes,,,,,,,"GSM, GSM",,,,,110 g,
496,496,,,,,,,,3.5,,2200 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,1+1=2 D4 Combo of Two Mobile,0,,,"‚¹1,429",0.3MP,Yes,,,,,,32 MB,240 x 320$$Pixels,,,Normal SIM,Yes,,No,,,,,"GSM, GSM",,,,,,
497,497,,,,,,,,3.5 mm Stereo,,3000 mAh,,Yes,4.1,,,,,,16 M,5.5 inch,Super AMOLED,,256 GB,,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy J7 Nxt ,Android Nougat 7,,,"‚¹11,900",13MP,Yes,"f1.9, Auto Focus",1.6 GHz,Octa Core,Exynos Octa Core 1.6 GHz,,3 GB,1280 x 720 Pixels,,,Micro SIM (3FF),,5MP,Yes,f2.2,"Accelerometer, Proximity Sensor",,,"4G LTE, WCDMA, UMTS",,,,,170 g,802.11 b/g/n (2.4 GHz)
498,498,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,16 M,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,64 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy On Nxt ,Android Marshmallow 6,,,"‚¹11,990",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Sound and Shot, Wide Selfie",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6 GHz,,3 GB,1920 x 1080 pixels,,,Nano SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Proximity Sensor, Fingerprint Sensor",,,"4G LTE, 4G LTE",,,,,167 g,802.11 b/g/n
